"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855231.9072";"около 8 тысяч";"77";"добродушный";"998";"404";"";"4 года 10 месяцев";"около 180 тысяч";"168";"63 / 78";"8312";"21356";"22096";"7577";"0";"10723";"7257";"11945"
"1463859096.9017";"около 8 тысяч";"77";"добродушный";"998";"404";"";"4 года 10 месяцев";"около 180 тысяч";"168";"63 / 78";"8313";"21356";"22096";"7583";"0";"10734";"7261";"12026"
"1463902282.32706";"около 16 тысяч";"77";"добродушный";"998";"404";"";"4 года 10 месяцев";"около 180 тысяч";"168";"63 / 78";"8306";"21356";"22099";"7593";"0";"10608";"7208";"10893"
"1463945484.20313";"около 2 тысяч";"77";"миролюбивый";"1005";"404";"";"4 года 10 месяцев";"около 181 тысяч";"168";"63 / 78";"8302";"21356";"22110";"7613";"0";"10709";"7242";"9416"
"1463988682.05257";"около 2 тысяч";"77";"добродушный";"1005";"404";"";"4 года 10 месяцев";"около 181 тысяч";"168";"63 / 78";"8302";"21356";"22113";"7539";"0";"10573";"7194";"9867"
"1464031885.5025";"ни одного";"77";"добродушный";"1005";"404";"";"4 года 10 месяцев";"около 181 тысяч";"170";"63 / 78";"8300";"21356";"22121";"7619";"0";"10996";"7242";"10475"
"1464075080.97163";"около сотни";"77";"добродушный";"1005";"404";"";"4 года 10 месяцев";"около 181 тысяч";"170";"63 / 78";"8299";"21356";"22125";"7570";"0";"10911";"7205";"10877"
"1464118282.42613";"около 7 тысяч";"77";"добродушный";"1007";"404";"1";"4 года 10 месяцев";"около 181 тысяч";"170";"63 / 78";"8296";"21356";"22124";"7635";"24217";"11020";"7248";"10734"
"1464161482.15133";"около 7 тысяч";"77";"добродушный";"1007";"404";"1";"4 года 10 месяцев";"около 181 тысяч";"170";"63 / 78";"8298";"21356";"22129";"7540";"23727";"10848";"7174";"11090"
"1464204681.40059";"около 6 тысяч";"77";"добродушный";"1008";"404";"1";"4 года 10 месяцев";"около 181 тысяч";"170";"63 / 78";"8301";"21356";"22134";"7554";"24112";"10985";"7231";"11651"
"1464247880.52051";"около 7 тысяч";"77";"добродушный";"1009";"404";"2";"4 года 10 месяцев";"около 181 тысяч";"170";"63 / 78";"8302";"21356";"22133";"7461";"23666";"10788";"7171";"12023"
"1464291085.89324";"около 7 тысяч";"77";"добродушный";"1009";"404";"2";"4 года 10 месяцев";"около 181 тысяч";"170";"63 / 78";"8304";"21356";"22141";"7518";"23911";"10924";"7232";"11526"
