"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855237.04416";"около 4 тысяч";"68";"добродушный";"821";"368";"43";"2 года 1 месяц";"около 102 тысяч";"110";"41 / 58";"14811";"24950";"0";"9145";"982";"15967";"6824";"11647"
"1463859102.0184";"около 4 тысяч";"68";"добродушный";"827";"368";"43";"2 года 1 месяц";"около 102 тысяч";"110";"41 / 58";"14811";"24950";"0";"9150";"982";"15981";"6826";"11736"
"1463902287.43802";"около тысячи";"68";"добродушный";"827";"368";"43";"2 года 1 месяц";"около 102 тысяч";"110";"41 / 58";"14773";"24950";"0";"9073";"980";"15807";"6775";"12141"
"1463945489.31425";"около тысячи";"68";"добродушный";"827";"368";"43";"2 года 1 месяц";"около 102 тысяч";"110";"41 / 58";"14777";"24950";"0";"9152";"984";"15987";"6817";"12701"
"1463988687.15538";"около тысячи";"68";"добродушный";"827";"368";"43";"2 года 1 месяц";"около 102 тысяч";"110";"41 / 58";"14779";"24950";"0";"9034";"981";"15811";"6781";"13074"
"1464031890.65157";"около 15 тысяч";"69";"добродушный";"830";"372";"43";"2 года 1 месяц";"около 102 тысяч";"110";"41 / 58";"14743";"24950";"0";"9098";"986";"15850";"6803";"12406"
"1464075086.07627";"около 11 тысяч";"69";"добродушный";"831";"372";"43";"2 года 1 месяц";"около 102 тысяч";"110";"41 / 58";"14743";"24950";"0";"9029";"983";"15707";"6768";"11823"
"1464118287.53226";"около 10 тысяч";"69";"добродушный";"832";"372";"43";"2 года 1 месяц";"около 102 тысяч";"111";"41 / 58";"14729";"24950";"0";"9112";"986";"16234";"6791";"12127"
"1464161487.25816";"около 5 сотен";"69";"добродушный";"832";"372";"43";"2 года 1 месяц";"около 102 тысяч";"111";"41 / 58";"14727";"24950";"0";"8984";"978";"16030";"6721";"12501"
"1464204686.50396";"около 6 тысяч";"69";"добродушный";"834";"372";"43";"2 года 1 месяц";"около 102 тысяч";"111";"41 / 58";"14720";"24950";"0";"9082";"980";"16184";"6767";"12589"
"1464247885.63205";"около 9 тысяч";"69";"добродушный";"835";"372";"43";"2 года 1 месяц";"около 102 тысяч";"111";"41 / 58";"14676";"24950";"0";"8952";"958";"15920";"6717";"12964"
"1464291091.00468";"около тысячи";"69";"добродушный";"837";"372";"43";"2 года 1 месяц";"около 102 тысяч";"111";"41 / 58";"14663";"24950";"0";"9062";"960";"16099";"6776";"12765"
