"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855242.17191";"около 10 тысяч";"82";"добродушный";"807";"424";"";"6 лет 5 месяцев";"около 273 тысяч";"152";"87 / 81";"5509";"2293";"11908";"3660";"0";"2690";"7031";"9916"
"1463859107.13147";"около 10 тысяч";"82";"добродушный";"807";"424";"";"6 лет 5 месяцев";"около 273 тысяч";"152";"87 / 81";"5510";"2293";"11909";"3662";"0";"2692";"7036";"9991"
"1463902292.5595";"около 10 тысяч";"82";"добродушный";"807";"424";"";"6 лет 5 месяцев";"около 273 тысяч";"152";"87 / 81";"5511";"2293";"11913";"3633";"0";"2679";"6994";"10416"
"1463945494.43841";"около 10 тысяч";"82";"добродушный";"807";"424";"";"6 лет 5 месяцев";"около 273 тысяч";"152";"87 / 81";"5512";"2293";"11916";"3653";"0";"2694";"7034";"11027"
"1463988692.28977";"около 10 тысяч";"82";"добродушный";"807";"424";"";"6 лет 5 месяцев";"около 273 тысяч";"152";"87 / 81";"5514";"2293";"11917";"3628";"0";"2670";"6992";"11455"
"1464031895.83243";"около 10 тысяч";"82";"добродушный";"807";"424";"";"6 лет 5 месяцев";"около 273 тысяч";"152";"87 / 81";"5515";"2293";"11923";"3652";"0";"2687";"7048";"11994"
"1464075091.21249";"около 10 тысяч";"82";"добродушный";"807";"424";"";"6 лет 6 месяцев";"около 273 тысяч";"152";"87 / 81";"5517";"2293";"11930";"3635";"0";"2673";"7015";"12374"
"1464118292.66685";"около 10 тысяч";"82";"добродушный";"807";"424";"";"6 лет 6 месяцев";"около 273 тысяч";"152";"87 / 81";"5522";"2293";"11937";"3652";"0";"2696";"7055";"12929"
"1464161492.38255";"около 14 тысяч";"82";"добродушный";"813";"424";"";"6 лет 6 месяцев";"около 274 тысяч";"152";"87 / 81";"5507";"2293";"11937";"3673";"0";"2656";"6929";"10901"
"1464204691.62649";"около 3 тысяч";"82";"добродушный";"814";"424";"";"6 лет 6 месяцев";"около 274 тысяч";"152";"87 / 81";"5487";"2293";"11940";"3699";"0";"2673";"6975";"9915"
"1464247890.77373";"около 3 тысяч";"82";"добродушный";"814";"424";"";"6 лет 6 месяцев";"около 274 тысяч";"152";"87 / 81";"5489";"2293";"11942";"3682";"0";"2640";"6923";"10285"
"1464291096.12224";"около 3 тысяч";"82";"добродушный";"814";"424";"";"6 лет 6 месяцев";"около 274 тысяч";"152";"87 / 81";"5492";"2293";"11940";"3718";"0";"2660";"6989";"10805"
