"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855549.41209";"около 5 тысяч";"73";"добродушный";"828";"388";"";"5 лет 11 месяцев";"около 194 тысяч";"161";"37 / 54";"10774";"16080";"0";"7564";"0";"7959";"9510";"10680"
"1463859414.05014";"около 5 тысяч";"73";"добродушный";"828";"388";"";"5 лет 11 месяцев";"около 194 тысяч";"161";"37 / 54";"10774";"16080";"0";"7570";"0";"7964";"9518";"10755"
"1463902599.37285";"около 5 тысяч";"73";"добродушный";"828";"388";"";"5 лет 11 месяцев";"около 194 тысяч";"161";"37 / 54";"10774";"16080";"0";"7504";"0";"7908";"9452";"11164"
"1463945806.80812";"около 5 тысяч";"73";"добродушный";"828";"388";"";"5 лет 11 месяцев";"около 194 тысяч";"161";"37 / 54";"10776";"16080";"0";"7567";"0";"8001";"9532";"11756"
"1463988999.17156";"около 6 тысяч";"73";"добродушный";"836";"388";"";"5 лет 11 месяцев";"около 194 тысяч";"161";"37 / 54";"10750";"16080";"0";"7454";"0";"7857";"9431";"11154"
"1464032203.35802";"около 6 тысяч";"73";"добродушный";"836";"388";"";"5 лет 11 месяцев";"около 194 тысяч";"161";"37 / 54";"10754";"16080";"0";"7523";"0";"7934";"9512";"11724"
"1464075397.85554";"около 6 тысяч";"73";"добродушный";"836";"388";"";"5 лет 11 месяцев";"около 194 тысяч";"161";"37 / 54";"10757";"16080";"0";"7474";"0";"7878";"9458";"12098"
"1464118599.54126";"около 16 сотен";"73";"добродушный";"839";"388";"";"5 лет 11 месяцев";"около 194 тысяч";"161";"37 / 54";"10738";"16080";"0";"7579";"0";"7944";"9507";"10218"
"1464161799.1062";"около 3 тысяч";"73";"добродушный";"839";"388";"";"5 лет 11 месяцев";"около 194 тысяч";"161";"37 / 54";"10739";"16080";"0";"7487";"0";"7847";"9404";"10610"
"1464204998.477";"около 3 тысяч";"73";"добродушный";"839";"388";"";"5 лет 11 месяцев";"около 194 тысяч";"161";"37 / 54";"10742";"16080";"0";"7569";"0";"7937";"9502";"11139"
"1464248198.0651";"около 3 тысяч";"73";"добродушный";"839";"388";"";"5 лет 11 месяцев";"около 194 тысяч";"161";"37 / 54";"10744";"16080";"0";"7475";"0";"7826";"9401";"11499"
"1464291403.31796";"около 3 тысяч";"73";"добродушный";"843";"388";"";"5 лет 11 месяцев";"около 195 тысяч";"162";"37 / 54";"10736";"16080";"0";"7608";"0";"8009";"9466";"12065"
