"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855324.13282";"около 5 тысяч";"50";"миролюбивый";"16";"296";"8";"1 год";"около 61 тысяч";"75";"1 / 0";"36874";"0";"18408";"17175";"21709";"18070";"6504"
"1463859188.97402";"около 5 тысяч";"50";"миролюбивый";"16";"296";"8";"1 год";"около 61 тысяч";"75";"1 / 0";"36874";"0";"18425";"17193";"21733";"18082";"6600"
"1463902374.40649";"около 3 тысяч";"50";"миролюбивый";"16";"296";"8";"1 год";"около 61 тысяч";"75";"1 / 0";"36874";"0";"18170";"16941";"21449";"17872";"3759"
"1463945576.26903";"около 2 тысяч";"50";"миролюбивый";"16";"296";"8";"1 год";"около 61 тысяч";"75";"1 / 0";"36874";"0";"18403";"17065";"21576";"18073";"3879"
"1463988774.10236";"около 2 тысяч";"50";"добродетельный";"17";"296";"8";"1 год";"около 61 тысяч";"75";"1 / 0";"36874";"0";"18174";"16856";"21294";"17854";"3435"
"1464031977.74696";"около 3 тысяч";"50";"миролюбивый";"17";"296";"9";"1 год";"около 61 тысяч";"75";"1 / 0";"36874";"0";"18373";"16226";"21499";"18066";"4110"
"1464075172.981";"ни одного";"50";"миролюбивый";"24";"296";"9";"1 год";"около 61 тысяч";"76";"1 / 0";"36874";"0";"18164";"16042";"21789";"17869";"4315"
"1464118374.52651";"около 8 сотен";"50";"миролюбивый";"24";"296";"9";"1 год";"около 61 тысяч";"76";"1 / 0";"36874";"0";"18438";"16151";"22010";"18108";"5000"
"1464161574.16321";"около 4 тысяч";"50";"миролюбивый";"24";"296";"9";"1 год 1 месяц";"около 61 тысяч";"76";"1 / 0";"36874";"0";"18141";"15908";"21661";"17868";"4863"
"1464204773.40183";"около 3 тысяч";"50";"миролюбивый";"24";"296";"9";"1 год 1 месяц";"около 61 тысяч";"76";"1 / 0";"36874";"0";"18378";"16068";"21948";"18113";"5520"
"1464247972.76928";"около 7 тысяч";"50";"миролюбивый";"26";"296";"9";"1 год 1 месяц";"около 61 тысяч";"76";"1 / 0";"36874";"0";"18025";"15846";"21517";"17611";"6245"
"1464291177.91081";"около 5 тысяч";"50";"миролюбивый";"26";"296";"9";"1 год 1 месяц";"около 61 тысяч";"76";"1 / 0";"36874";"0";"18266";"15929";"21706";"17810";"6829"
