"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855339.51885";"около 3 тысяч";"49";"беззлобный";"19";"292";"17";"1 год 1 месяц";"около 59 тысяч";"69";"0 / 1";"37020";"0";"18884";"8968";"19393";"18352";"17675"
"1463859204.28654";"около 3 тысяч";"49";"беззлобный";"19";"292";"17";"1 год 1 месяц";"около 59 тысяч";"69";"0 / 1";"37020";"0";"18903";"8973";"19414";"18366";"17745"
"1463902389.75772";"около 3 тысяч";"49";"беззлобный";"19";"292";"17";"1 год 1 месяц";"около 59 тысяч";"69";"0 / 1";"37020";"0";"18617";"8918";"19148";"18155";"18072"
"1463945591.6075";"около 3 тысяч";"49";"беззлобный";"21";"292";"17";"1 год 1 месяц";"около 59 тысяч";"69";"0 / 1";"37020";"0";"18804";"8962";"19257";"18355";"18586"
"1463988789.42305";"около 6 тысяч";"49";"беззлобный";"21";"292";"17";"1 год 1 месяц";"около 59 тысяч";"69";"0 / 1";"37020";"0";"18483";"8927";"19010";"18136";"18214"
"1464031993.10199";"около сотни";"49";"беззлобный";"22";"292";"17";"1 год 1 месяц";"около 59 тысяч";"70";"0 / 1";"37020";"0";"18731";"8966";"19806";"18346";"18768"
"1464075188.29109";"около 5 тысяч";"49";"беззлобный";"24";"292";"17";"1 год 1 месяц";"около 59 тысяч";"70";"0 / 1";"37020";"0";"18533";"8901";"19594";"18141";"18330"
"1464118389.85888";"около 6 тысяч";"49";"нейтральный";"25";"292";"17";"1 год 1 месяц";"около 59 тысяч";"70";"0 / 1";"37020";"0";"18788";"8945";"19757";"18391";"0"
"1464161589.47751";"около 9 тысяч";"49";"беззлобный";"26";"292";"17";"1 год 1 месяц";"около 59 тысяч";"70";"0 / 1";"37020";"0";"18593";"8851";"19436";"18150";"18083"
"1464204788.71706";"около тысячи";"49";"беззлобный";"26";"292";"17";"1 год 1 месяц";"около 60 тысяч";"70";"0 / 1";"37020";"0";"18770";"8910";"19555";"18350";"17939"
"1464247988.32941";"около 5 тысяч";"49";"беззлобный";"27";"292";"17";"1 год 1 месяц";"около 60 тысяч";"70";"0 / 1";"37020";"0";"18460";"8815";"19229";"18083";"17388"
"1464291193.24013";"около тысячи";"49";"беззлобный";"27";"292";"18";"1 год 1 месяц";"около 60 тысяч";"70";"0 / 1";"37020";"0";"18720";"8439";"19409";"18303";"17919"
