"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855411.17155";"около 2 тысяч";"46";"чистое зло";"4";"280";"";"7 месяцев";"около 51 тысяч";"56";"1 / 1";"37215";"0";"19198";"0";"16703";"18482";"477"
"1463859275.82451";"около тысячи";"46";"чистое зло";"5";"280";"";"7 месяцев";"около 51 тысяч";"56";"1 / 1";"37215";"0";"19154";"0";"16680";"18477";"217"
"1463902461.27105";"около 9 тысяч";"46";"чистое зло";"5";"280";"";"7 месяцев";"около 51 тысяч";"56";"1 / 1";"37215";"0";"18915";"0";"16465";"18274";"282"
"1463945663.22067";"около 4 тысяч";"46";"чистое зло";"5";"280";"";"7 месяцев";"около 51 тысяч";"56";"1 / 1";"37215";"0";"19058";"0";"16451";"18468";"356"
"1463988861.02738";"около 3 тысяч";"46";"чистое зло";"6";"280";"";"7 месяцев";"около 51 тысяч";"56";"1 / 1";"37215";"0";"18835";"0";"16186";"18211";"290"
"1464032064.86353";"около 4 тысяч";"46";"чистое зло";"7";"280";"";"7 месяцев";"около 51 тысяч";"56";"1 / 1";"37215";"0";"19079";"0";"16242";"18348";"457"
"1464075259.81295";"около 3 тысяч";"46";"чистое зло";"7";"280";"";"7 месяцев";"около 51 тысяч";"56";"1 / 1";"37215";"0";"18767";"0";"15977";"18112";"544"
"1464118461.47186";"около тысячи";"46";"чистое зло";"7";"280";"";"7 месяцев";"около 52 тысяч";"56";"1 / 1";"37215";"0";"19093";"0";"16069";"18347";"389"
"1464161661.04507";"около 4 сотен";"46";"чистое зло";"8";"280";"";"7 месяцев";"около 52 тысяч";"57";"1 / 1";"37215";"0";"20344";"0";"16525";"18088";"504"
"1464204860.33094";"около 3 тысяч";"46";"чистое зло";"8";"280";"";"7 месяцев";"около 52 тысяч";"57";"1 / 1";"37215";"0";"20636";"0";"16575";"18323";"708"
"1464248059.96475";"около 4 тысяч";"46";"чистое зло";"9";"280";"";"7 месяцев";"около 52 тысяч";"57";"1 / 1";"37215";"0";"18899";"0";"16298";"18043";"967"
"1464291264.87137";"около 19 сотен";"46";"чистое зло";"10";"280";"";"7 месяцев";"около 52 тысяч";"57";"1 / 1";"37215";"0";"19033";"0";"16349";"18266";"696"
