"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855431.65383";"ни одного";"52";"миролюбивый";"16";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15920";"0";"27905";"18278";"6182"
"1463859296.35218";"ни одного";"52";"миролюбивый";"16";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15929";"0";"27923";"18293";"6278"
"1463902481.71289";"около тысячи";"52";"миролюбивый";"16";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15728";"0";"27502";"18089";"6723"
"1463945688.95444";"около 16 сотен";"52";"миролюбивый";"17";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15889";"0";"27786";"18297";"6529"
"1463988881.49496";"около 4 тысяч";"52";"миролюбивый";"17";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15687";"0";"27408";"18082";"5823"
"1464032085.37433";"около 5 тысяч";"52";"миролюбивый";"17";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15822";"0";"27680";"18273";"6514"
"1464075280.26899";"около 3 тысяч";"52";"миролюбивый";"18";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15658";"0";"27318";"18062";"6954"
"1464118481.93168";"около 10 тысяч";"52";"миролюбивый";"19";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15873";"0";"27615";"18307";"6469"
"1464161681.51693";"около 2 тысяч";"52";"миролюбивый";"19";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15616";"0";"27177";"18066";"6623"
"1464204880.80798";"около тысячи";"52";"миролюбивый";"19";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15848";"0";"27537";"18291";"7227"
"1464248080.43436";"около 3 тысяч";"52";"миролюбивый";"19";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15472";"0";"27043";"18027";"5939"
"1464291285.45403";"около 3 тысяч";"52";"миролюбивый";"19";"304";"";"6 лет 12 месяцев";"около 69 тысяч";"97";"6 / 5";"36882";"0";"15729";"0";"27388";"18247";"6505"
