"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855482.86257";"около 5 тысяч";"70";"злобный";"818";"376";"8";"2 года 4 месяца";"около 174 тысяч";"177";"3 / 2";"12876";"25489";"0";"8458";"17373";"13605";"7280";"1603"
"1463859347.44209";"около 3 тысяч";"70";"злобный";"818";"376";"8";"2 года 4 месяца";"около 174 тысяч";"177";"3 / 2";"12876";"25489";"0";"8464";"17391";"13618";"7284";"1632"
"1463902532.89984";"около 9 тысяч";"70";"злобный";"818";"376";"8";"2 года 4 месяца";"около 174 тысяч";"177";"3 / 2";"12876";"25489";"0";"8386";"17144";"13447";"7235";"1424"
"1463945740.09637";"около 6 тысяч";"70";"злобный";"819";"376";"8";"2 года 4 месяца";"около 174 тысяч";"177";"3 / 2";"12869";"25489";"0";"8464";"17278";"13593";"7268";"1472"
"1463988932.62943";"около 7 тысяч";"70";"злобный";"820";"376";"8";"2 года 4 месяца";"около 174 тысяч";"177";"3 / 2";"12860";"25489";"0";"8351";"17064";"13367";"7214";"1425"
"1464032136.67167";"около 3 тысяч";"70";"злобный";"822";"376";"9";"2 года 4 месяца";"около 175 тысяч";"177";"3 / 2";"12852";"25489";"0";"8458";"16344";"13429";"7255";"1336"
"1464075331.36288";"около 7 тысяч";"70";"злобный";"822";"376";"9";"2 года 4 месяца";"около 175 тысяч";"177";"3 / 2";"12844";"25489";"0";"8401";"16165";"13305";"7217";"1407"
"1464118533.00864";"около 7 тысяч";"70";"злобный";"823";"376";"9";"2 года 4 месяца";"около 175 тысяч";"177";"3 / 2";"12845";"25489";"0";"8463";"16277";"13486";"7255";"1437"
"1464161732.60451";"около 3 тысяч";"70";"злобный";"823";"376";"9";"2 года 4 месяца";"около 175 тысяч";"177";"3 / 2";"12844";"25489";"0";"8359";"16041";"13326";"7182";"1383"
"1464204931.91209";"около 3 тысяч";"70";"злобный";"823";"376";"9";"2 года 4 месяца";"около 175 тысяч";"177";"3 / 2";"12849";"25489";"0";"8459";"16211";"13491";"7238";"1678"
"1464248131.55223";"около 3 тысяч";"70";"злобный";"823";"376";"9";"2 года 4 месяца";"около 175 тысяч";"177";"3 / 2";"12849";"25489";"0";"8347";"16000";"13276";"7183";"1854"
"1464291336.63987";"около 3 тысяч";"70";"злобный";"823";"376";"9";"2 года 4 месяца";"около 175 тысяч";"177";"3 / 2";"12856";"25489";"0";"8445";"16087";"13416";"7252";"2085"
