"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855487.96918";"ни одного";"76";"нейтральный";"911";"400";"5 лет 12 месяцев";"около 206 тысяч";"136";"59 / 70";"8545";"23735";"23333";"5532";"0";"4480";"7209";"0"
"1463859352.5512";"ни одного";"76";"нейтральный";"911";"400";"5 лет 12 месяцев";"около 206 тысяч";"136";"59 / 70";"8545";"23735";"23334";"5535";"0";"4482";"7214";"0"
"1463902538.00298";"около тысячи";"76";"нейтральный";"911";"400";"5 лет 12 месяцев";"около 207 тысяч";"136";"59 / 70";"8548";"23735";"23338";"5502";"0";"4448";"7164";"0"
"1463945745.2045";"около 16 сотен";"76";"нейтральный";"912";"400";"5 лет 12 месяцев";"около 207 тысяч";"136";"59 / 70";"8546";"23735";"23340";"5539";"0";"4484";"7203";"0"
"1463988937.75806";"около 5 тысяч";"76";"нейтральный";"913";"400";"5 лет 12 месяцев";"около 207 тысяч";"136";"59 / 70";"8545";"23735";"23346";"5484";"0";"4419";"7154";"0"
"1464032141.80195";"около 6 тысяч";"76";"нейтральный";"913";"400";"5 лет 12 месяцев";"около 207 тысяч";"136";"59 / 70";"8551";"23735";"23349";"5541";"0";"4452";"7203";"0"
"1464075336.46841";"около 12 тысяч";"76";"нейтральный";"915";"400";"5 лет 12 месяцев";"около 207 тысяч";"136";"59 / 70";"8543";"23735";"23352";"5485";"0";"4414";"7164";"0"
"1464118538.11484";"ни одного";"76";"нейтральный";"915";"400";"5 лет 12 месяцев";"около 207 тысяч";"137";"59 / 70";"8545";"23735";"23361";"5527";"0";"4536";"7194";"0"
"1464161737.72655";"ни одного";"76";"нейтральный";"915";"400";"5 лет 12 месяцев";"около 207 тысяч";"137";"59 / 70";"8546";"23735";"23368";"5470";"0";"4503";"7130";"0"
"1464204937.02046";"около 5 тысяч";"76";"нейтральный";"916";"400";"5 лет 12 месяцев";"около 207 тысяч";"137";"59 / 70";"8551";"23735";"23377";"5520";"0";"4542";"7187";"0"
"1464248136.65691";"около 6 тысяч";"76";"нейтральный";"917";"400";"5 лет 12 месяцев";"около 207 тысяч";"137";"59 / 70";"8548";"23735";"23377";"5480";"0";"4470";"7125";"0"
"1464291341.79687";"около 4 тысяч";"76";"нейтральный";"917";"400";"1";"5 лет 12 месяцев";"около 207 тысяч";"137";"59 / 70";"8528";"23735";"23379";"5548";"24258";"4516";"7191";"0"
