"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855513.58835";"около 6 тысяч";"49";"миролюбивый";"9";"292";"13";"1 год 1 месяц";"около 59 тысяч";"76";"15 / 3";"37199";"0";"18388";"11841";"23486";"18310";"3802"
"1463859378.14951";"около 6 тысяч";"49";"миролюбивый";"9";"292";"13";"1 год 1 месяц";"около 59 тысяч";"76";"15 / 3";"37199";"0";"18405";"11847";"23510";"18324";"3886"
"1463902563.60913";"около 18 сотен";"49";"миролюбивый";"10";"292";"13";"1 год 1 месяц";"около 59 тысяч";"76";"15 / 3";"37199";"0";"18056";"11743";"23135";"18122";"4375"
"1463945771.02453";"около 16 сотен";"49";"миролюбивый";"11";"292";"13";"1 год 1 месяц";"около 59 тысяч";"76";"15 / 3";"37199";"0";"18281";"11821";"23348";"18328";"4760"
"1463988963.40887";"около 6 тысяч";"49";"миролюбивый";"12";"292";"13";"1 год 1 месяц";"около 60 тысяч";"76";"15 / 3";"37199";"0";"17983";"11763";"23041";"18093";"4048"
"1464032167.50724";"около 6 тысяч";"49";"миролюбивый";"12";"292";"13";"1 год 1 месяц";"около 60 тысяч";"76";"15 / 3";"37199";"0";"18207";"11836";"23290";"18307";"4692"
"1464075362.08651";"около 6 тысяч";"49";"миролюбивый";"12";"292";"13";"1 год 1 месяц";"около 60 тысяч";"76";"15 / 3";"37199";"0";"17992";"11724";"23057";"18118";"5184"
"1464118563.74062";"около 10 тысяч";"49";"миролюбивый";"15";"292";"14";"1 год 1 месяц";"около 60 тысяч";"76";"15 / 3";"37199";"0";"18221";"11121";"23154";"18257";"5289"
"1464161763.32581";"около 2 тысяч";"49";"миролюбивый";"16";"292";"14";"1 год 1 месяц";"около 60 тысяч";"76";"15 / 3";"37199";"0";"17927";"11000";"22707";"18010";"3886"
"1464204962.68276";"около 2 тысяч";"49";"миролюбивый";"16";"292";"14";"1 год 1 месяц";"около 60 тысяч";"76";"15 / 3";"37199";"0";"18160";"11091";"22987";"18260";"4549"
"1464248162.26553";"около 3 тысяч";"50";"добродетельный";"17";"296";"14";"1 год 1 месяц";"около 60 тысяч";"76";"15 / 3";"37199";"0";"17761";"10988";"22525";"17995";"3752"
"1464291367.45142";"около 3 тысяч";"50";"добродетельный";"17";"296";"14";"1 год 1 месяц";"около 60 тысяч";"76";"15 / 3";"37199";"0";"18009";"11046";"22810";"18221";"4333"
