"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855523.81521";"ни одного";"52";"нейтральный";"14";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"18394";"10150";"35831";"18426";"0"
"1463859388.40731";"ни одного";"52";"нейтральный";"14";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"18411";"10156";"35879";"18439";"0"
"1463902573.83468";"около 2 тысяч";"52";"нейтральный";"14";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"18188";"10084";"35277";"18242";"0"
"1463945781.25109";"около 14 тысяч";"52";"нейтральный";"15";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"18477";"10145";"35773";"18457";"0"
"1463988973.6274";"около 10 тысяч";"52";"нейтральный";"15";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"18246";"10096";"35224";"18220";"0"
"1464032177.78033";"около 10 тысяч";"52";"нейтральный";"15";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"18483";"10155";"35771";"18434";"0"
"1464075372.2965";"около 8 тысяч";"52";"нейтральный";"17";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"18057";"10089";"35082";"18201";"0"
"1464118573.9699";"около 2 тысяч";"52";"нейтральный";"18";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"18259";"10150";"35540";"18420";"0"
"1464161773.53747";"около 2 тысяч";"52";"нейтральный";"23";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"17937";"10032";"34966";"18153";"0"
"1464204972.93556";"около 3 тысяч";"52";"нейтральный";"24";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"18154";"10107";"35519";"18387";"0"
"1464248172.47751";"около 6 тысяч";"52";"недовольный";"24";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"17892";"10016";"34855";"18096";"0"
"1464291377.75227";"около 7 тысяч";"52";"нейтральный";"25";"304";"15";"1 год 10 месяцев";"около 68 тысяч";"118";"19 / 13";"36938";"0";"18011";"10082";"35315";"18322";"0"
