"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855554.51818";"около 3 сотен";"69";"озлобленный";"801";"372";"";"6 лет 1 месяц";"около 162 тысяч";"156";"5 / 14";"14211";"22003";"0";"10119";"0";"11643";"9195";"4808"
"1463859419.14959";"около 3 сотен";"69";"озлобленный";"801";"372";"";"6 лет 1 месяц";"около 162 тысяч";"156";"5 / 14";"14212";"22003";"0";"10131";"0";"11658";"9202";"4823"
"1463902604.47903";"около 3 сотен";"69";"озлобленный";"801";"372";"";"6 лет 1 месяц";"около 162 тысяч";"156";"5 / 14";"14213";"22003";"0";"10038";"0";"11554";"9140";"4895"
"1463945811.91773";"около 4 тысяч";"69";"озлобленный";"802";"372";"";"6 лет 1 месяц";"около 163 тысяч";"156";"5 / 14";"14199";"22003";"0";"10072";"0";"11631";"9206";"4596"
"1463989004.27674";"около 2 тысяч";"69";"озлобленный";"802";"372";"";"6 лет 1 месяц";"около 163 тысяч";"156";"5 / 14";"14199";"22003";"0";"9919";"0";"11491";"9122";"4682"
"1464032208.46938";"около 2 тысяч";"69";"озлобленный";"802";"372";"";"6 лет 1 месяц";"около 163 тысяч";"156";"5 / 14";"14205";"22003";"0";"10014";"0";"11583";"9202";"4822"
"1464075402.96796";"около 2 тысяч";"69";"озлобленный";"802";"372";"";"6 лет 1 месяц";"около 163 тысяч";"156";"5 / 14";"14208";"22003";"0";"9935";"0";"11503";"9148";"4907"
"1464118604.64345";"около 2 тысяч";"69";"озлобленный";"802";"372";"";"6 лет 1 месяц";"около 163 тысяч";"156";"5 / 14";"14212";"22003";"0";"10044";"0";"11611";"9215";"5043"
"1464161804.24926";"около 2 тысяч";"69";"недовольный";"802";"372";"";"6 лет 1 месяц";"около 163 тысяч";"156";"5 / 14";"14219";"22003";"0";"9930";"0";"11464";"9119";"5101"
"1464205003.57983";"около 2 тысяч";"69";"недовольный";"802";"372";"";"6 лет 1 месяц";"около 163 тысяч";"156";"5 / 14";"14224";"22003";"0";"10043";"0";"11601";"9206";"5255"
"1464248203.1697";"около 2 тысяч";"69";"недовольный";"802";"372";"";"6 лет 1 месяц";"около 163 тысяч";"156";"5 / 14";"14233";"22003";"0";"9904";"0";"11456";"9109";"5316"
"1464291408.43031";"около 3 тысяч";"69";"озлобленный";"806";"372";"";"6 лет 1 месяц";"около 163 тысяч";"156";"5 / 14";"14161";"22003";"0";"9976";"0";"11488";"9165";"4722"
