"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855585.22109";"около 17 тысяч";"68";"нейтральный";"822";"368";"2";"2 года 6 месяцев";"около 126 тысяч";"143";"60 / 36";"15590";"26565";"14628";"7571";"23900";"18004";"7735";"0"
"1463859449.85914";"около 17 тысяч";"68";"нейтральный";"822";"368";"2";"2 года 6 месяцев";"около 126 тысяч";"143";"60 / 36";"15591";"26565";"14629";"7577";"23925";"18021";"7740";"0"
"1463902635.13671";"около 11 тысяч";"68";"нейтральный";"822";"368";"3";"2 года 6 месяцев";"около 126 тысяч";"143";"60 / 36";"15577";"26565";"14632";"7511";"22915";"17770";"7668";"0"
"1463945842.74146";"около 10 тысяч";"68";"нейтральный";"823";"368";"3";"2 года 6 месяцев";"около 127 тысяч";"143";"60 / 36";"15568";"26565";"14637";"7555";"23184";"17933";"7716";"0"
"1463989035.00772";"около 11 тысяч";"68";"нейтральный";"823";"368";"3";"2 года 6 месяцев";"около 127 тысяч";"143";"60 / 36";"15570";"26565";"14639";"7485";"22832";"17746";"7658";"0"
"1464032239.2244";"ни одного";"68";"нейтральный";"832";"368";"4";"2 года 6 месяцев";"около 127 тысяч";"144";"60 / 36";"15529";"26565";"14649";"7546";"22336";"18200";"7713";"0"
"1464075433.62696";"около сотни";"68";"нейтральный";"832";"368";"4";"2 года 6 месяцев";"около 127 тысяч";"144";"60 / 36";"15532";"26565";"14650";"7501";"22042";"18045";"7655";"0"
"1464118635.3273";"около сотни";"68";"нейтральный";"832";"368";"4";"2 года 6 месяцев";"около 127 тысяч";"144";"60 / 36";"15539";"26565";"14658";"7556";"22303";"18274";"7705";"0"
"1464161834.933";"около сотни";"68";"нейтральный";"832";"368";"4";"2 года 6 месяцев";"около 127 тысяч";"144";"60 / 36";"15542";"26565";"14664";"7468";"21916";"18025";"7627";"0"
"1464205034.36514";"около 10 тысяч";"68";"нейтральный";"836";"368";"5";"2 года 6 месяцев";"около 127 тысяч";"144";"60 / 36";"15503";"26565";"14667";"7535";"21252";"18111";"7668";"0"
"1464248233.86562";"около 9 тысяч";"68";"нейтральный";"836";"368";"5";"2 года 6 месяцев";"около 127 тысяч";"144";"60 / 36";"15507";"26565";"14669";"7445";"20974";"17884";"7586";"0"
"1464291439.13643";"около 9 тысяч";"68";"нейтральный";"836";"368";"5";"2 года 6 месяцев";"около 127 тысяч";"144";"60 / 36";"15514";"26565";"14672";"7534";"21191";"18077";"7658";"0"
