"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855651.88845";"около 4 тысяч";"51";"нейтральный";"6";"300";"11";"1 год 4 месяца";"около 66 тысяч";"97";"7 / 20";"36913";"0";"18130";"13025";"29282";"18524";"0"
"1463859516.33876";"около 4 тысяч";"51";"нейтральный";"6";"300";"11";"1 год 4 месяца";"около 66 тысяч";"97";"7 / 20";"36913";"0";"18146";"13036";"29307";"18540";"0"
"1463902701.52718";"около 4 тысяч";"51";"нейтральный";"6";"300";"11";"1 год 4 месяца";"около 66 тысяч";"97";"7 / 20";"36913";"0";"17918";"12927";"28939";"18336";"0"
"1463945909.20285";"около 4 тысяч";"51";"нейтральный";"6";"300";"11";"1 год 4 месяца";"около 66 тысяч";"97";"7 / 20";"36913";"0";"18148";"13017";"29327";"18554";"0"
"1463989101.51811";"около 4 тысяч";"51";"нейтральный";"6";"300";"11";"1 год 4 месяца";"около 66 тысяч";"97";"7 / 20";"36913";"0";"0";"0"
"1464032305.9084";"около 18 сотен";"51";"нейтральный";"10";"300";"12";"1 год 4 месяца";"около 67 тысяч";"98";"7 / 20";"36913";"0";"17963";"12112";"29429";"18484";"0"
"1464075500.07192";"около 2 тысяч";"51";"нейтральный";"10";"300";"12";"1 год 4 месяца";"около 67 тысяч";"98";"7 / 20";"36913";"0";"17756";"12008";"29003";"18278";"0"
"1464118701.82724";"около 9 сотен";"51";"нейтральный";"11";"300";"12";"1 год 4 месяца";"около 67 тысяч";"98";"7 / 20";"36913";"0";"19545";"12096";"29344";"18513";"0"
"1464161901.41728";"около 2 тысяч";"51";"нейтральный";"12";"300";"12";"1 год 4 месяца";"около 67 тысяч";"98";"7 / 20";"36913";"0";"19275";"11957";"28933";"18269";"0"
"1464205100.80964";"около 2 тысяч";"51";"нейтральный";"12";"300";"12";"1 год 4 месяца";"около 67 тысяч";"98";"7 / 20";"36913";"0";"19541";"12081";"29342";"18520";"0"
"1464248300.44943";"около 2 тысяч";"51";"нейтральный";"12";"300";"12";"1 год 4 месяца";"около 67 тысяч";"98";"7 / 20";"36913";"0";"19254";"11977";"28924";"18256";"0"
"1464291505.63647";"около 2 тысяч";"51";"нейтральный";"12";"300";"12";"1 год 4 месяца";"около 67 тысяч";"98";"7 / 20";"36913";"0";"19506";"12055";"29339";"18483";"0"
