"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855718.34268";"несколько";"71";"нейтральный";"799";"380";"45";"5 лет 3 месяца";"около 172 тысяч";"149";"144 / 26";"12531";"11982";"1194";"7452";"807";"8810";"8794";"0"
"1463859582.78028";"несколько";"71";"нейтральный";"799";"380";"45";"5 лет 3 месяца";"около 172 тысяч";"149";"144 / 26";"12531";"11982";"1194";"7457";"807";"8819";"8802";"0"
"1463902767.89054";"несколько";"71";"нейтральный";"799";"380";"45";"5 лет 3 месяца";"около 172 тысяч";"149";"144 / 26";"12534";"11982";"1195";"7392";"804";"8748";"8743";"0"
"1463945975.65969";"несколько";"71";"нейтральный";"799";"380";"45";"5 лет 3 месяца";"около 172 тысяч";"149";"144 / 26";"12540";"11982";"1195";"7447";"808";"8846";"8812";"0"
"1463989168.00446";"около 5 тысяч";"71";"нейтральный";"808";"380";"45";"5 лет 3 месяца";"около 173 тысяч";"149";"144 / 26";"12514";"11982";"1195";"7376";"805";"8662";"8712";"0"
"1464032372.45627";"около 3 тысяч";"71";"нейтральный";"809";"380";"45";"5 лет 3 месяца";"около 173 тысяч";"149";"144 / 26";"12516";"11982";"1195";"7439";"807";"8750";"8783";"0"
"1464075567.25745";"около 3 тысяч";"71";"нейтральный";"809";"380";"45";"5 лет 3 месяца";"около 173 тысяч";"149";"144 / 26";"12519";"11982";"1195";"7395";"804";"8691";"8743";"0"
"1464118768.27671";"около 3 тысяч";"71";"нейтральный";"809";"380";"45";"5 лет 3 месяца";"около 173 тысяч";"149";"144 / 26";"12525";"11982";"1196";"7448";"805";"8792";"8800";"0"
"1464161967.87857";"около 3 тысяч";"71";"нейтральный";"809";"380";"45";"5 лет 3 месяца";"около 173 тысяч";"149";"144 / 26";"12532";"11982";"1195";"7362";"796";"8686";"8710";"0"
"1464205167.32005";"около 3 тысяч";"71";"нейтральный";"809";"380";"45";"5 лет 3 месяца";"около 173 тысяч";"149";"144 / 26";"12536";"11982";"1195";"7438";"798";"8786";"8780";"0"
"1464248366.91696";"около 3 тысяч";"71";"нейтральный";"809";"380";"45";"5 лет 3 месяца";"около 173 тысяч";"149";"144 / 26";"12540";"11982";"1195";"7355";"777";"8648";"8696";"0"
"1464291572.1637";"около 3 тысяч";"71";"нейтральный";"809";"380";"45";"5 лет 3 месяца";"около 173 тысяч";"149";"144 / 26";"12542";"11982";"1195";"7453";"779";"8782";"8783";"0"
