"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855759.26806";"около 6 тысяч";"81";"нейтральный";"840";"420";"";"6 лет 1 месяц";"около 265 тысяч";"220";"87 / 131";"5720";"7432";"16115";"3937";"0";"7916";"5533";"0"
"1463859623.6864";"около 6 тысяч";"81";"нейтральный";"840";"420";"";"6 лет 1 месяц";"около 265 тысяч";"220";"87 / 131";"5720";"7432";"16114";"3939";"0";"7922";"5534";"0"
"1463902808.779";"около 7 тысяч";"81";"нейтральный";"840";"420";"";"6 лет 1 месяц";"около 265 тысяч";"220";"87 / 131";"5720";"7432";"16118";"3915";"0";"7867";"5508";"0"
"1463946016.58967";"около 2 сотен";"81";"нейтральный";"841";"420";"";"6 лет 1 месяц";"около 266 тысяч";"221";"87 / 131";"5720";"7432";"16126";"3943";"0";"8043";"5539";"0"
"1463989208.89369";"около 16 сотен";"81";"нейтральный";"842";"420";"";"6 лет 1 месяц";"около 266 тысяч";"221";"87 / 131";"5722";"7432";"16129";"3914";"0";"7926";"5510";"0"
"1464032413.39061";"около 16 сотен";"81";"нейтральный";"842";"420";"";"6 лет 1 месяц";"около 266 тысяч";"221";"87 / 131";"5724";"7432";"16135";"3936";"0";"8000";"5544";"0"
"1464075608.132";"около 16 сотен";"81";"нейтральный";"842";"420";"";"6 лет 1 месяц";"около 266 тысяч";"221";"87 / 131";"5727";"7432";"16138";"3916";"0";"7936";"5516";"0"
"1464118809.25902";"около 16 сотен";"81";"нейтральный";"842";"420";"";"6 лет 1 месяц";"около 266 тысяч";"221";"87 / 131";"5727";"7432";"16146";"3942";"0";"8029";"5549";"0"
"1464162008.79218";"около 16 сотен";"81";"нейтральный";"842";"420";"";"6 лет 1 месяц";"около 266 тысяч";"221";"87 / 131";"5729";"7432";"16146";"3918";"0";"7932";"5511";"0"
"1464205208.4605";"около 3 тысяч";"81";"нейтральный";"844";"420";"";"6 лет 1 месяц";"около 266 тысяч";"221";"87 / 131";"5735";"7432";"16147";"3943";"0";"8026";"5546";"0"
"1464248407.87181";"около 6 тысяч";"81";"нейтральный";"844";"420";"";"6 лет 1 месяц";"около 266 тысяч";"221";"87 / 131";"5711";"7432";"16150";"3868";"0";"7876";"5497";"0"
"1464291613.10005";"около 6 тысяч";"81";"нейтральный";"844";"420";"";"6 лет 1 месяц";"около 266 тысяч";"221";"87 / 131";"5713";"7432";"16158";"3906";"0";"7980";"5551";"0"
