"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855769.50502";"около 2 тысяч";"55";"беззлобный";"16";"316";"";"3 года 4 месяца";"около 81 тысяч";"146";"9 / 13";"36946";"0";"15676";"0";"36929";"18344";"15708"
"1463859633.92526";"около 2 тысяч";"55";"беззлобный";"16";"316";"";"3 года 4 месяца";"около 81 тысяч";"146";"9 / 13";"36946";"0";"15685";"0";"36978";"18357";"15787"
"1463902819.03715";"около 2 тысяч";"55";"беззлобный";"16";"316";"";"3 года 4 месяца";"около 81 тысяч";"146";"9 / 13";"36946";"0";"15487";"0";"36337";"18152";"16082"
"1463946026.84975";"около 3 тысяч";"55";"беззлобный";"18";"316";"";"3 года 4 месяца";"около 81 тысяч";"147";"9 / 13";"36946";"0";"15686";"0";"37137";"18341";"14567"
"1463989219.12827";"около 3 тысяч";"55";"беззлобный";"18";"316";"";"3 года 4 месяца";"около 81 тысяч";"147";"9 / 13";"36946";"0";"15479";"0";"36528";"18137";"14895"
"1464032423.61164";"около 3 тысяч";"55";"беззлобный";"18";"316";"";"3 года 4 месяца";"около 81 тысяч";"147";"9 / 13";"36946";"0";"15673";"0";"37121";"18359";"15429"
"1464075618.35169";"около 5 тысяч";"55";"беззлобный";"20";"316";"";"3 года 4 месяца";"около 81 тысяч";"147";"9 / 13";"36946";"0";"15441";"0";"36373";"18163";"14843"
"1464118819.50208";"около 9 тысяч";"55";"добродушный";"22";"316";"";"3 года 4 месяца";"около 81 тысяч";"147";"9 / 13";"36946";"0";"15643";"0";"36922";"18381";"14043"
"1464162019.01477";"около 9 тысяч";"55";"беззлобный";"22";"316";"";"3 года 4 месяца";"около 81 тысяч";"147";"9 / 13";"36946";"0";"15416";"0";"36313";"18142";"14395"
"1464205218.68061";"около 9 тысяч";"55";"беззлобный";"22";"316";"";"3 года 4 месяца";"около 81 тысяч";"147";"9 / 13";"36946";"0";"15633";"0";"36967";"18398";"14896"
"1464248418.10952";"около 9 тысяч";"55";"беззлобный";"22";"316";"";"3 года 4 месяца";"около 81 тысяч";"147";"9 / 13";"36946";"0";"15396";"0";"36260";"18132";"15232"
"1464291623.32264";"около 9 тысяч";"55";"беззлобный";"22";"316";"";"3 года 4 месяца";"около 81 тысяч";"147";"9 / 13";"36946";"0";"15606";"0";"36848";"18365";"15765"
