"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855800.38842";"около 3 тысяч";"68";"нейтральный";"805";"368";"19";"3 года 8 месяцев";"около 148 тысяч";"150";"53 / 22";"15519";"18741";"12760";"9151";"7526";"13480";"9080";"0"
"1463859664.7184";"около 3 тысяч";"68";"нейтральный";"805";"368";"19";"3 года 8 месяцев";"около 148 тысяч";"150";"53 / 22";"15520";"18741";"12760";"9156";"7529";"13493";"9087";"0"
"1463902849.7305";"около 3 тысяч";"68";"нейтральный";"805";"368";"19";"3 года 8 месяцев";"около 148 тысяч";"150";"53 / 22";"15521";"18741";"12765";"9075";"7490";"13372";"9030";"0"
"1463946057.59426";"около 6 тысяч";"68";"нейтральный";"808";"368";"19";"3 года 8 месяцев";"около 148 тысяч";"150";"53 / 22";"15495";"18741";"12771";"9181";"7540";"13430";"9083";"0"
"1463989249.88412";"около 8 тысяч";"68";"нейтральный";"809";"368";"19";"3 года 8 месяцев";"около 148 тысяч";"150";"53 / 22";"15492";"18741";"12768";"9058";"7503";"13258";"8998";"0"
"1464032454.33653";"около 8 тысяч";"68";"нейтральный";"809";"368";"19";"3 года 8 месяцев";"около 148 тысяч";"150";"53 / 22";"15495";"18741";"12774";"9142";"7555";"13348";"9080";"0"
"1464075651.66196";"около 8 тысяч";"68";"нейтральный";"809";"368";"19";"3 года 8 месяцев";"около 148 тысяч";"150";"53 / 22";"15498";"18741";"12775";"9079";"7524";"13261";"9034";"0"
"1464118850.25036";"около 8 тысяч";"68";"нейтральный";"809";"368";"19";"3 года 8 месяцев";"около 148 тысяч";"150";"53 / 22";"15501";"18741";"12783";"9163";"7565";"13444";"9099";"0"
"1464162049.71839";"около 4 тысяч";"68";"нейтральный";"810";"368";"19";"3 года 8 месяцев";"около 148 тысяч";"151";"53 / 22";"15492";"18741";"12787";"9064";"7500";"13474";"9002";"0"
"1464205249.41801";"около 5 тысяч";"68";"нейтральный";"810";"368";"19";"3 года 8 месяцев";"около 149 тысяч";"151";"53 / 22";"15464";"18741";"12789";"9167";"7569";"13628";"9081";"0"
"1464248448.84938";"около 4 тысяч";"68";"нейтральный";"811";"368";"19";"3 года 8 месяцев";"около 149 тысяч";"151";"53 / 22";"15458";"18741";"12793";"9016";"7501";"13374";"8981";"0"
"1464291654.04614";"около 7 тысяч";"68";"нейтральный";"811";"368";"19";"3 года 8 месяцев";"около 149 тысяч";"151";"53 / 22";"15456";"18741";"12797";"9131";"7546";"13526";"9071";"0"
