"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855810.66046";"около 3 тысяч";"68";"добродушный";"833";"368";"37";"2 года 8 месяцев";"около 135 тысяч";"108";"14 / 8";"14990";"25260";"0";"9332";"1602";"7272";"7780";"14163"
"1463859674.93484";"около 3 тысяч";"68";"добродушный";"833";"368";"37";"2 года 8 месяцев";"около 135 тысяч";"108";"14 / 8";"14990";"25260";"0";"9339";"1602";"7279";"7785";"14229"
"1463902859.94725";"около тысячи";"68";"добродушный";"834";"368";"37";"2 года 8 месяцев";"около 135 тысяч";"108";"14 / 8";"14977";"25260";"0";"9255";"1595";"7199";"7726";"13625"
"1463946067.80684";"около 8 тысяч";"68";"добродушный";"834";"368";"37";"2 года 8 месяцев";"около 135 тысяч";"109";"14 / 8";"14979";"25260";"0";"9282";"1601";"7443";"7778";"12246"
"1463989260.10347";"около 3 тысяч";"68";"добродушный";"834";"368";"37";"2 года 8 месяцев";"около 135 тысяч";"109";"14 / 8";"14956";"25260";"0";"9158";"1594";"7340";"7712";"12640"
"1464032464.60051";"около 5 тысяч";"68";"добродушный";"835";"368";"37";"2 года 8 месяцев";"около 135 тысяч";"109";"14 / 8";"14948";"25260";"0";"9270";"1599";"7389";"7759";"13189"
"1464075661.91078";"около 10 тысяч";"68";"добродушный";"836";"368";"37";"2 года 8 месяцев";"около 135 тысяч";"109";"14 / 8";"14939";"25260";"0";"9203";"1593";"7310";"7717";"9578"
"1464118860.47539";"около тысячи";"68";"добродушный";"836";"368";"37";"2 года 8 месяцев";"около 135 тысяч";"109";"14 / 8";"14933";"25260";"0";"9222";"1598";"7389";"7760";"9913"
"1464162059.94295";"около тысячи";"68";"добродушный";"836";"368";"37";"2 года 8 месяцев";"около 135 тысяч";"109";"14 / 8";"14929";"25260";"0";"9103";"1587";"7290";"7682";"10320"
"1464205259.64998";"около 4 тысяч";"68";"миролюбивый";"837";"368";"37";"2 года 8 месяцев";"около 135 тысяч";"109";"14 / 8";"14921";"25260";"0";"9212";"1595";"7357";"7741";"8188"
"1464248459.11588";"около 8 тысяч";"68";"миролюбивый";"838";"368";"37";"2 года 8 месяцев";"около 136 тысяч";"109";"14 / 8";"14920";"25260";"0";"9075";"1571";"7251";"7660";"7998"
"1464291664.26686";"около 6 тысяч";"68";"миролюбивый";"838";"368";"37";"2 года 8 месяцев";"около 136 тысяч";"109";"14 / 8";"14920";"25260";"0";"9235";"1574";"7328";"7725";"8591"
