"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855815.82522";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7156";"10842";"19768";"5471";"0";"5498";"6120";"0"
"1463859680.04614";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7156";"10842";"19769";"5474";"0";"5501";"6124";"0"
"1463902865.05737";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7158";"10842";"19770";"5435";"0";"5463";"6091";"0"
"1463946072.91917";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7161";"10842";"19774";"5470";"0";"5499";"6130";"0"
"1463989265.22866";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7163";"10842";"19775";"5424";"0";"5442";"6100";"0"
"1464032469.75595";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7167";"10842";"19785";"5473";"0";"5490";"6142";"0"
"1464075667.06092";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7169";"10842";"19789";"5439";"0";"5442";"6110";"0"
"1464118865.58847";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7173";"10842";"19796";"5481";"0";"5501";"6146";"0"
"1464162065.0565";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7176";"10842";"19802";"0";"0"
"1464205264.76486";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7181";"10842";"19805";"0";"0"
"1464248464.22359";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7185";"10842";"19807";"0";"0"
"1464291669.37921";"около 7 тысяч";"78";"нейтральный";"987";"408";"";"5 лет 2 месяца";"около 245 тысяч";"175";"74 / 109";"7191";"10842";"19808";"0";"0"
