"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855826.10209";"около 7 сотен";"74";"нейтральный";"1009";"392";"24";"4 года 8 месяцев";"около 177 тысяч";"138";"13 / 13";"9982";"22239";"0";"8091";"5297";"6780";"7561";"0"
"1463859690.28597";"около тысячи";"74";"нейтральный";"1009";"392";"24";"4 года 8 месяцев";"около 177 тысяч";"138";"13 / 13";"9982";"22239";"0";"8097";"5297";"6788";"7568";"0"
"1463902875.27682";"около 4 тысяч";"74";"нейтральный";"1009";"392";"24";"4 года 9 месяцев";"около 177 тысяч";"138";"13 / 13";"9979";"22239";"0";"8008";"5271";"6732";"7519";"0"
"1463946083.1387";"около 4 тысяч";"74";"нейтральный";"1010";"392";"24";"4 года 9 месяцев";"около 177 тысяч";"136";"13 / 13";"9980";"22239";"0";"7196";"5296";"6525";"7569";"0"
"1463989275.45252";"около 7 тысяч";"74";"нейтральный";"1010";"392";"24";"4 года 9 месяцев";"около 178 тысяч";"136";"13 / 13";"9957";"22239";"0";"7123";"5280";"6438";"7514";"0"
"1464032479.99623";"около 3 тысяч";"74";"нейтральный";"1011";"392";"24";"4 года 9 месяцев";"около 178 тысяч";"136";"13 / 13";"9960";"22239";"0";"7064";"5312";"6480";"7560";"0"
"1464075677.27675";"около 5 тысяч";"74";"нейтральный";"1011";"392";"24";"4 года 9 месяцев";"около 178 тысяч";"134";"13 / 13";"9955";"22239";"0";"7015";"5293";"6214";"7512";"0"
"1464118875.83165";"около 5 тысяч";"74";"беззлобный";"1012";"392";"24";"4 года 9 месяцев";"около 178 тысяч";"135";"13 / 13";"9956";"22239";"0";"7038";"5323";"6381";"7555";"18694"
"1464162075.27391";"около 3 тысяч";"74";"нейтральный";"1012";"392";"24";"4 года 9 месяцев";"около 178 тысяч";"136";"13 / 13";"9959";"22239";"0";"6954";"5282";"6409";"7478";"0"
"1464205274.9892";"около 4 тысяч";"74";"беззлобный";"1013";"392";"24";"4 года 9 месяцев";"около 178 тысяч";"136";"13 / 13";"9959";"22239";"0";"7030";"5324";"6477";"7542";"18835"
"1464248474.44245";"около 7 тысяч";"74";"беззлобный";"1014";"392";"24";"4 года 9 месяцев";"около 178 тысяч";"136";"13 / 13";"9952";"22239";"0";"6956";"5280";"6377";"7471";"18672"
"1464291679.61192";"около 8 тысяч";"74";"беззлобный";"1014";"392";"24";"4 года 9 месяцев";"около 178 тысяч";"136";"13 / 13";"9957";"22239";"0";"7044";"5305";"6453";"7529";"18531"
