"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855892.61177";"около 6 тысяч";"75";"добродушный";"837";"396";"22";"7 лет 10 месяцев";"около 202 тысяч";"126";"17 / 18";"9294";"24434";"0";"6139";"6236";"3824";"6715";"9587"
"1463859756.76056";"около 8 тысяч";"75";"добродушный";"837";"396";"22";"7 лет 10 месяцев";"около 202 тысяч";"126";"17 / 18";"9294";"24434";"0";"6141";"6239";"3827";"6714";"9671"
"1463902941.77701";"около 3 тысяч";"75";"добродушный";"839";"396";"23";"7 лет 10 месяцев";"около 202 тысяч";"126";"17 / 18";"9290";"24434";"0";"6069";"5869";"3797";"6669";"10114"
"1463946149.60707";"около 4 тысяч";"75";"добродушный";"840";"396";"23";"7 лет 10 месяцев";"около 203 тысяч";"126";"17 / 18";"9287";"24434";"0";"6118";"5896";"3820";"6702";"10733"
"1463989342.01096";"около тысячи";"75";"добродушный";"841";"396";"23";"7 лет 10 месяцев";"около 203 тысяч";"127";"17 / 18";"9284";"24434";"0";"6043";"5875";"3861";"6654";"9592"
"1464032546.54955";"около 5 тысяч";"75";"миролюбивый";"842";"396";"23";"7 лет 10 месяцев";"около 203 тысяч";"127";"17 / 18";"9287";"24434";"0";"6081";"5907";"3884";"6689";"8874"
"1464075743.71986";"около 9 тысяч";"75";"миролюбивый";"842";"396";"23";"7 лет 10 месяцев";"около 203 тысяч";"127";"17 / 18";"9278";"24434";"0";"6015";"5876";"3857";"6663";"9303"
"1464118942.29846";"около 3 тысяч";"75";"миролюбивый";"843";"396";"23";"7 лет 10 месяцев";"около 203 тысяч";"127";"17 / 18";"9272";"24434";"0";"6075";"5905";"3880";"6692";"8558"
"1464162141.80459";"около 6 тысяч";"75";"миролюбивый";"844";"396";"23";"7 лет 10 месяцев";"около 203 тысяч";"127";"17 / 18";"9243";"24434";"0";"5997";"5848";"3848";"6632";"8106"
"1464205341.49225";"около 4 тысяч";"75";"миролюбивый";"844";"396";"23";"7 лет 10 месяцев";"около 203 тысяч";"127";"17 / 18";"9245";"24434";"0";"6026";"5889";"3869";"6674";"8194"
"1464248540.98864";"около 18 сотен";"75";"миролюбивый";"845";"396";"23";"7 лет 10 месяцев";"около 203 тысяч";"127";"17 / 18";"9237";"24434";"0";"5946";"5830";"3812";"6624";"8585"
"1464291746.1045";"около 8 тысяч";"75";"миролюбивый";"846";"396";"23";"7 лет 10 месяцев";"около 204 тысяч";"127";"17 / 18";"9234";"24434";"0";"6014";"5863";"3847";"6672";"8313"
