"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855928.45337";"около 4 тысяч";"49";"добродетельный";"3";"292";"4";"11 месяцев";"около 60 тысяч";"49";"3 / 3";"37242";"0";"17665";"22259";"7579";"18490";"2812"
"1463859792.54905";"около 4 тысяч";"49";"добродетельный";"3";"292";"4";"11 месяцев";"около 60 тысяч";"49";"3 / 3";"37242";"0";"17681";"22283";"7586";"18503";"2921"
"1463902977.59486";"около 3 тысяч";"49";"добродетельный";"3";"292";"4";"11 месяцев";"около 60 тысяч";"48";"3 / 3";"37243";"0";"17469";"21881";"7127";"18283";"3412"
"1463946185.42223";"около 13 тысяч";"49";"добродетельный";"5";"292";"4";"11 месяцев";"около 60 тысяч";"48";"3 / 3";"37243";"0";"17693";"22070";"7152";"18409";"3208"
"1463989377.79222";"около 16 сотен";"49";"миролюбивый";"5";"292";"5";"11 месяцев";"около 60 тысяч";"49";"3 / 3";"37243";"0";"17478";"21010";"7427";"18160";"3728"
"1464032582.33611";"около 6 тысяч";"49";"миролюбивый";"10";"292";"5";"11 месяцев";"около 60 тысяч";"49";"3 / 3";"37243";"0";"17705";"21245";"7451";"18355";"4375"
"1464075779.53791";"около 8 тысяч";"49";"миролюбивый";"11";"292";"5";"11 месяцев";"около 60 тысяч";"49";"3 / 3";"37243";"0";"17454";"20963";"7364";"18128";"4271"
"1464118978.10572";"около 7 сотен";"49";"миролюбивый";"11";"292";"5";"11 месяцев";"около 60 тысяч";"49";"3 / 3";"37243";"0";"17643";"21185";"7427";"18361";"4035"
"1464162177.57647";"около 4 тысяч";"49";"миролюбивый";"13";"292";"5";"11 месяцев";"около 61 тысяч";"49";"3 / 3";"37243";"0";"17454";"20833";"7318";"18116";"4194"
"1464205377.37829";"около 2 тысяч";"49";"миролюбивый";"13";"292";"6";"11 месяцев";"около 61 тысяч";"49";"3 / 3";"37243";"0";"17689";"20062";"7374";"18344";"4887"
"1464248576.78657";"около 7 тысяч";"49";"миролюбивый";"14";"292";"6";"11 месяцев";"около 61 тысяч";"49";"3 / 3";"37243";"0";"17445";"19828";"7229";"18069";"5320"
"1464291781.93912";"около 2 тысяч";"49";"миролюбивый";"15";"292";"6";"11 месяцев";"около 61 тысяч";"48";"3 / 3";"37243";"0";"17525";"20020";"6917";"18293";"5611"
