"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855959.35825";"около 6 тысяч";"81";"добродетельный";"994";"420";"24";"5 лет 6 месяцев";"около 254 тысяч";"140";"62 / 55";"5678";"9404";"18659";"5346";"5570";"2595";"4789";"3270"
"1463859823.46167";"около 7 тысяч";"81";"добродетельный";"994";"420";"24";"5 лет 6 месяцев";"около 254 тысяч";"140";"62 / 55";"5679";"9404";"18659";"5350";"5570";"2597";"4790";"3372"
"1463903008.467";"около 3 тысяч";"81";"добродетельный";"995";"420";"24";"5 лет 6 месяцев";"около 254 тысяч";"140";"62 / 55";"5675";"9404";"18661";"5313";"5544";"2580";"4758";"3195"
"1463946216.30381";"около 4 тысяч";"81";"добродетельный";"996";"420";"24";"5 лет 6 месяцев";"около 254 тысяч";"141";"62 / 55";"5676";"9404";"18664";"5352";"5574";"2666";"4778";"2021"
"1463989408.67352";"около 8 тысяч";"81";"добродетельный";"997";"420";"24";"5 лет 6 месяцев";"около 254 тысяч";"141";"62 / 55";"5678";"9404";"18668";"5323";"5554";"2643";"4757";"1870"
"1464032613.28045";"около 6 тысяч";"81";"добродетельный";"997";"420";"24";"5 лет 6 месяцев";"около 254 тысяч";"141";"62 / 55";"5681";"9404";"18675";"5371";"5592";"2652";"4774";"2252"
"1464075810.51465";"около 5 тысяч";"81";"добродетельный";"999";"420";"24";"5 лет 6 месяцев";"около 254 тысяч";"141";"62 / 55";"5683";"9404";"18678";"5357";"5569";"2631";"4748";"1807"
"1464119009.06811";"около 7 тысяч";"81";"добродетельный";"999";"420";"24";"5 лет 6 месяцев";"около 254 тысяч";"141";"62 / 55";"5683";"9404";"18684";"5402";"5596";"2655";"4761";"2167"
"1464162208.4866";"около 6 тысяч";"81";"добродетельный";"999";"420";"24";"5 лет 6 месяцев";"около 254 тысяч";"141";"62 / 55";"5681";"9404";"18688";"5351";"5550";"2629";"4735";"1722"
"1464205412.85332";"около 5 тысяч";"81";"добродетельный";"1000";"420";"24";"5 лет 6 месяцев";"около 254 тысяч";"141";"62 / 55";"5685";"9404";"18696";"5395";"5589";"2645";"4772";"1729"
"1464248607.7136";"около 10 тысяч";"81";"абсолютное добро";"1000";"420";"24";"5 лет 6 месяцев";"около 254 тысяч";"141";"62 / 55";"5683";"9404";"18703";"5347";"5537";"2609";"4752";"1240"
"1464291812.89978";"около 20 тысяч";"81";"абсолютное добро";"1001";"420";"24";"5 лет 6 месяцев";"около 255 тысяч";"141";"62 / 55";"5680";"9404";"18709";"5373";"5569";"2625";"4787";"1107"
