"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463855974.87791";"около 3 тысяч";"53";"нейтральный";"10";"308";"";"3 года 2 месяца";"около 75 тысяч";"86";"15 / 14";"36867";"0";"18153";"0";"18375";"18499";"0"
"1463859838.96279";"около 3 тысяч";"53";"нейтральный";"10";"308";"";"3 года 2 месяца";"около 75 тысяч";"86";"15 / 14";"36867";"0";"18168";"0";"18392";"18512";"0"
"1463903023.97742";"около 12 тысяч";"53";"нейтральный";"15";"308";"";"3 года 3 месяца";"около 75 тысяч";"87";"15 / 14";"36867";"0";"17963";"0";"18582";"18307";"0"
"1463946231.81414";"около 2 тысяч";"53";"нейтральный";"16";"308";"";"3 года 3 месяца";"около 75 тысяч";"87";"15 / 14";"36867";"0";"18103";"0";"18732";"18490";"0"
"1463989424.17469";"около 2 тысяч";"53";"нейтральный";"16";"308";"";"3 года 3 месяца";"около 75 тысяч";"87";"15 / 14";"36867";"0";"17885";"0";"18543";"18284";"0"
"1464032628.79487";"около 2 тысяч";"53";"нейтральный";"16";"308";"";"3 года 3 месяца";"около 75 тысяч";"87";"15 / 14";"36867";"0";"18108";"0";"18733";"18504";"0"
"1464075826.02959";"около 2 тысяч";"53";"нейтральный";"16";"308";"";"3 года 3 месяца";"около 75 тысяч";"87";"15 / 14";"36867";"0";"17906";"0";"18583";"18302";"0"
"1464119024.5697";"около 3 сотен";"53";"нейтральный";"17";"308";"";"3 года 3 месяца";"около 76 тысяч";"88";"15 / 14";"36867";"0";"18092";"0";"19159";"18536";"0"
"1464162223.99444";"около тысячи";"53";"нейтральный";"17";"308";"";"3 года 3 месяца";"около 76 тысяч";"88";"15 / 14";"36867";"0";"17828";"0";"18901";"18286";"0"
"1464205428.37802";"около тысячи";"53";"нейтральный";"17";"308";"";"3 года 3 месяца";"около 76 тысяч";"88";"15 / 14";"36867";"0";"18068";"0";"19107";"18541";"0"
"1464248623.2512";"около 19 сотен";"53";"нейтральный";"19";"308";"";"3 года 3 месяца";"около 76 тысяч";"88";"15 / 14";"36867";"0";"17788";"0";"18750";"18260";"0"
"1464291828.40443";"около 6 тысяч";"53";"нейтральный";"20";"308";"";"3 года 3 месяца";"около 76 тысяч";"88";"15 / 14";"36867";"0";"17974";"0";"18923";"18468";"0"
