"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463855985.31029";"около 6 тысяч";"70";"агрессивный";"826";"376";"14";"0";"0";"0"
"1463859849.43722";"около 6 тысяч";"70";"агрессивный";"826";"376";"14";"0";"0";"0"
"1463903034.44258";"около 6 тысяч";"70";"агрессивный";"826";"376";"14";"0";"0";"0"
"1463946242.31869";"около 6 тысяч";"70";"агрессивный";"826";"376";"14";"0";"0";"0"
"1463989434.647";"около 6 тысяч";"70";"агрессивный";"826";"376";"14";"0";"0";"0"
"1464032639.28891";"около 4 тысяч";"70";"агрессивный";"829";"376";"14";"0";"0";"0"
"1464075836.49645";"около 6 тысяч";"70";"агрессивный";"830";"376";"14";"0";"0";"0"
"1464119035.02454";"около 9 тысяч";"70";"злобный";"830";"376";"14";"0";"0";"0"
"1464162234.44776";"около 4 тысяч";"70";"злобный";"831";"376";"14";"0";"0";"0"
"1464205438.83814";"около 7 тысяч";"70";"злобный";"832";"376";"14";"0";"0";"0"
"1464248633.70682";"около 7 тысяч";"70";"злобный";"832";"376";"14";"0";"0";"0"
"1464291838.8685";"около 5 тысяч";"70";"злобный";"833";"376";"14";"0";"0";"0"
