"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856011.05439";"около сотни";"70";"нейтральный";"828";"376";"";"3 года 12 месяцев";"около 163 тысяч";"131";"44 / 39";"13514";"15818";"0";"9306";"0";"7362";"8722";"0"
"1463859875.1389";"около сотни";"70";"нейтральный";"828";"376";"";"3 года 12 месяцев";"около 163 тысяч";"131";"44 / 39";"13515";"15818";"0";"9313";"0";"7369";"8730";"0"
"1463903060.17242";"около сотни";"70";"нейтральный";"828";"376";"";"3 года 12 месяцев";"около 163 тысяч";"131";"44 / 39";"13519";"15818";"0";"9232";"0";"7309";"8672";"0"
"1463946268.14979";"около 4 тысяч";"70";"нейтральный";"832";"376";"";"3 года 12 месяцев";"около 163 тысяч";"131";"44 / 39";"13494";"15818";"0";"9162";"0";"7369";"8729";"0"
"1463989460.4098";"около 4 тысяч";"70";"нейтральный";"832";"376";"";"4 года";"около 163 тысяч";"131";"44 / 39";"13499";"15818";"0";"9042";"0";"7283";"8658";"0"
"1464032665.07952";"около 4 тысяч";"70";"нейтральный";"832";"376";"";"4 года";"около 163 тысяч";"131";"44 / 39";"13509";"15818";"0";"9127";"0";"7346";"8729";"0"
"1464075862.22052";"около 4 тысяч";"70";"нейтральный";"832";"376";"";"4 года";"около 163 тысяч";"131";"44 / 39";"13511";"15818";"0";"9061";"0";"7279";"8679";"0"
"1464119060.81008";"ни одного";"70";"нейтральный";"833";"376";"";"4 года";"около 163 тысяч";"132";"44 / 39";"13499";"15818";"0";"9211";"0";"7457";"8727";"0"
"1464162260.21825";"ни одного";"70";"нейтральный";"833";"376";"";"4 года";"около 163 тысяч";"132";"44 / 39";"13502";"15818";"0";"9105";"0";"7379";"8640";"0"
"1464205464.58723";"около 3 тысяч";"70";"нейтральный";"833";"376";"";"4 года";"около 163 тысяч";"132";"44 / 39";"13499";"15818";"0";"9229";"0";"7477";"8708";"0"
"1464248659.43718";"около 3 тысяч";"70";"нейтральный";"833";"376";"";"4 года";"около 163 тысяч";"132";"44 / 39";"13501";"15818";"0";"9096";"0";"7383";"8619";"0"
"1464291864.64535";"около 3 тысяч";"70";"нейтральный";"833";"376";"";"4 года";"около 163 тысяч";"132";"44 / 39";"13505";"15818";"0";"9213";"0";"7467";"8702";"0"
