"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856067.45397";"около 3 тысяч";"43";"добродетельный";"4";"268";"23";"6 месяцев";"около 40 тысяч";"31";"26 / 6";"37262";"22321";"20951";"5723";"6776";"18418";"989"
"1463859931.44995";"около 15 сотен";"43";"добродетельный";"4";"268";"23";"6 месяцев";"около 40 тысяч";"31";"26 / 6";"37262";"22322";"20973";"5723";"6769";"18431";"1065"
"1463903117.45314";"около 2 тысяч";"43";"добродетельный";"5";"268";"23";"6 месяцев";"около 40 тысяч";"31";"26 / 6";"37263";"22324";"20642";"5694";"6681";"18209";"1227"
"1463946324.39579";"около 8 тысяч";"43";"добродетельный";"5";"268";"23";"6 месяцев";"около 40 тысяч";"31";"26 / 6";"37264";"22334";"20899";"5726";"6682";"18423";"1347"
"1463989516.74215";"около 5 тысяч";"43";"добродетельный";"5";"268";"23";"6 месяцев";"около 40 тысяч";"31";"26 / 6";"37264";"22337";"20547";"5707";"6550";"18210";"1208"
"1464032721.49342";"около 6 тысяч";"43";"добродетельный";"11";"268";"23";"6 месяцев";"около 40 тысяч";"31";"26 / 6";"37264";"22344";"20595";"5740";"6559";"18376";"1274"
"1464075918.48171";"около 4 тысяч";"43";"добродетельный";"11";"268";"23";"6 месяцев";"около 40 тысяч";"31";"26 / 6";"37264";"22349";"20420";"5712";"6467";"18155";"1111"
"1464119117.08876";"около 3 тысяч";"43";"добродетельный";"12";"268";"23";"6 месяцев";"около 40 тысяч";"31";"26 / 6";"37264";"22352";"20624";"5739";"6494";"18389";"1171"
"1464162316.50614";"около 17 сотен";"43";"добродетельный";"13";"268";"23";"6 месяцев";"около 40 тысяч";"31";"26 / 6";"37264";"22356";"20321";"5686";"6380";"18131";"1320"
"1464205520.85165";"около тысячи";"43";"добродетельный";"13";"268";"23";"6 месяцев";"около 40 тысяч";"31";"26 / 6";"37264";"22361";"20474";"5726";"6409";"18356";"1346"
"1464248715.72923";"около 6 тысяч";"43";"добродетельный";"13";"268";"23";"6 месяцев";"около 40 тысяч";"31";"26 / 6";"37264";"22367";"20170";"5668";"6294";"18066";"1457"
"1464291920.94223";"около 4 тысяч";"43";"абсолютное добро";"16";"268";"23";"6 месяцев";"около 41 тысяч";"31";"26 / 6";"37264";"22373";"20378";"5703";"6337";"18264";"1334"
