"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856082.99889";"около 12 тысяч";"80";"миролюбивый";"989";"416";"19";"4 года 10 месяцев";"около 252 тысяч";"153";"58 / 91";"6324";"9400";"0";"3785";"7642";"3577";"4700";"4539"
"1463859947.0382";"около 12 тысяч";"80";"миролюбивый";"989";"416";"19";"4 года 10 месяцев";"около 252 тысяч";"153";"58 / 91";"6324";"9400";"0";"3787";"7644";"3580";"4702";"4615"
"1463903132.95716";"около 9 тысяч";"80";"добродетельный";"990";"416";"19";"4 года 10 месяцев";"около 252 тысяч";"153";"58 / 91";"6315";"9400";"0";"3762";"7600";"3552";"4680";"4496"
"1463946339.94276";"около 13 тысяч";"80";"миролюбивый";"991";"416";"19";"4 года 10 месяцев";"около 252 тысяч";"153";"58 / 91";"6314";"9400";"0";"3771";"7647";"3566";"4705";"4247"
"1463989532.25644";"около 9 тысяч";"80";"добродетельный";"991";"416";"19";"4 года 10 месяцев";"около 252 тысяч";"153";"58 / 91";"6319";"9400";"0";"3737";"7613";"3529";"4672";"4168"
"1464032737.0389";"около 11 тысяч";"80";"миролюбивый";"993";"416";"20";"4 года 10 месяцев";"около 252 тысяч";"153";"58 / 91";"6319";"9400";"0";"3762";"7247";"3563";"4693";"3893"
"1464075933.99172";"около 9 тысяч";"80";"миролюбивый";"994";"416";"20";"4 года 10 месяцев";"около 252 тысяч";"153";"58 / 91";"6317";"9400";"0";"3739";"7215";"3522";"4652";"4099"
"1464119132.65166";"около 8 тысяч";"80";"миролюбивый";"995";"416";"20";"4 года 10 месяцев";"около 252 тысяч";"153";"58 / 91";"6316";"9400";"0";"3766";"7255";"3540";"4666";"3838"
"1464162332.03645";"около 4 тысяч";"80";"добродетельный";"996";"416";"20";"4 года 10 месяцев";"около 253 тысяч";"153";"58 / 91";"6316";"9400";"0";"3741";"7186";"3523";"4637";"3377"
"1464205536.39125";"ни одного";"80";"миролюбивый";"996";"416";"20";"4 года 10 месяцев";"около 253 тысяч";"154";"58 / 91";"6319";"9400";"0";"3747";"7246";"3606";"4660";"4087"
"1464248731.26042";"ни одного";"80";"миролюбивый";"996";"416";"20";"4 года 10 месяцев";"около 253 тысяч";"154";"58 / 91";"6322";"9400";"0";"3725";"7173";"3563";"4645";"4492"
"1464291936.45201";"около 18 сотен";"80";"миролюбивый";"996";"416";"20";"4 года 10 месяцев";"около 253 тысяч";"154";"58 / 91";"6325";"9400";"0";"3749";"7215";"3595";"4686";"4759"
