"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856088.10223";"около 3 тысяч";"52";"миролюбивый";"15";"304";"6";"1 год 6 месяцев";"около 68 тысяч";"101";"1 / 1";"36967";"0";"17616";"20054";"29829";"18345";"4119"
"1463859952.1608";"около 3 тысяч";"52";"миролюбивый";"15";"304";"6";"1 год 6 месяцев";"около 68 тысяч";"101";"1 / 1";"36967";"0";"17635";"20079";"29859";"18358";"4200"
"1463903138.07258";"около 4 тысяч";"52";"миролюбивый";"15";"304";"6";"1 год 6 месяцев";"около 68 тысяч";"101";"1 / 1";"36967";"0";"17376";"19782";"29400";"18154";"4654"
"1463946345.06451";"около 2 тысяч";"52";"миролюбивый";"16";"304";"6";"1 год 6 месяцев";"около 68 тысяч";"101";"1 / 1";"36967";"0";"17567";"19955";"29728";"18362";"4750"
"1463989537.36766";"около 4 тысяч";"52";"миролюбивый";"17";"304";"7";"1 год 6 месяцев";"около 68 тысяч";"101";"1 / 1";"36967";"0";"17349";"18683";"29297";"18141";"4972"
"1464032742.1853";"около 2 тысяч";"52";"миролюбивый";"17";"304";"7";"1 год 6 месяцев";"около 69 тысяч";"101";"1 / 1";"36967";"0";"17515";"18888";"29617";"18319";"4683"
"1464075939.10626";"ни одного";"52";"миролюбивый";"17";"304";"7";"1 год 6 месяцев";"около 69 тысяч";"102";"1 / 1";"36967";"0";"17376";"18684";"29621";"18110";"5176"
"1464119137.76605";"около 18 сотен";"52";"миролюбивый";"17";"304";"7";"1 год 6 месяцев";"около 69 тысяч";"102";"1 / 1";"36967";"0";"17618";"18857";"30027";"18360";"5865"
"1464162337.14452";"около 3 тысяч";"52";"миролюбивый";"17";"304";"7";"1 год 6 месяцев";"около 69 тысяч";"102";"1 / 1";"36967";"0";"17361";"18582";"29533";"18124";"6321"
"1464205541.525";"около 7 тысяч";"52";"добродетельный";"19";"304";"7";"1 год 6 месяцев";"около 69 тысяч";"102";"1 / 1";"36967";"0";"17520";"18834";"29902";"18357";"3321"
"1464248736.37264";"около 2 тысяч";"52";"добродетельный";"19";"304";"8";"1 год 6 месяцев";"около 69 тысяч";"102";"1 / 1";"36967";"0";"17280";"17449";"29380";"18034";"3424"
"1464291941.59615";"около 8 тысяч";"52";"добродетельный";"20";"304";"8";"1 год 6 месяцев";"около 69 тысяч";"102";"1 / 1";"36967";"0";"17412";"17590";"29736";"18265";"2674"
