"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856098.34792";"около 4 тысяч";"51";"добродушный";"16";"300";"12";"1 год 3 месяца";"около 67 тысяч";"87";"2 / 1";"36914";"0";"17428";"12475";"24085";"18188";"12972"
"1463859962.40559";"около 4 тысяч";"51";"добродушный";"16";"300";"12";"1 год 3 месяца";"около 67 тысяч";"87";"2 / 1";"36914";"0";"17445";"12484";"24103";"18182";"13046"
"1463903148.3033";"около 5 тысяч";"51";"добродушный";"16";"300";"12";"1 год 3 месяца";"около 67 тысяч";"87";"2 / 1";"36914";"0";"17242";"12364";"23780";"17978";"11907"
"1463946355.35244";"около 7 тысяч";"51";"добродушный";"17";"300";"12";"1 год 3 месяца";"около 67 тысяч";"87";"2 / 1";"36914";"0";"17375";"12451";"24011";"18177";"10965"
"1463989547.62824";"около 7 тысяч";"51";"добродушный";"17";"300";"12";"1 год 4 месяца";"около 67 тысяч";"87";"2 / 1";"36914";"0";"17135";"12373";"23739";"17974";"11395"
"1464032752.50519";"около 8 тысяч";"51";"добродушный";"18";"300";"12";"1 год 4 месяца";"около 67 тысяч";"87";"2 / 1";"36914";"0";"17307";"12460";"23894";"18096";"11942"
"1464075949.37216";"около 8 тысяч";"51";"добродушный";"18";"300";"12";"1 год 4 месяца";"около 67 тысяч";"87";"2 / 1";"36914";"0";"17110";"12344";"23627";"17898";"12320"
"1464119148.07657";"около 4 тысяч";"52";"добродушный";"20";"304";"12";"1 год 4 месяца";"около 68 тысяч";"87";"2 / 1";"36914";"0";"17361";"12417";"23714";"18087";"11907"
"1464162347.52051";"около 4 тысяч";"52";"добродушный";"20";"304";"12";"1 год 4 месяца";"около 68 тысяч";"87";"2 / 1";"36914";"0";"17106";"12262";"23408";"17849";"12284"
"1464205551.82783";"около 18 сотен";"52";"добродушный";"21";"304";"12";"1 год 4 месяца";"около 68 тысяч";"87";"2 / 1";"36914";"0";"17349";"12381";"23584";"18006";"11630"
"1464248746.74279";"около 18 сотен";"52";"добродушный";"21";"304";"12";"1 год 4 месяца";"около 68 тысяч";"87";"2 / 1";"36914";"0";"17091";"12257";"23238";"17746";"12002"
"1464291951.87543";"около тысячи";"52";"добродушный";"21";"304";"12";"1 год 4 месяца";"около 68 тысяч";"88";"2 / 1";"36914";"0";"17335";"12330";"24061";"17961";"12280"
