"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856103.47306";"около 7 тысяч";"77";"агрессивный";"914";"404";"16";"4 года 10 месяцев";"около 197 тысяч";"168";"67 / 63";"8059";"15340";"17468";"6080";"9326";"8535";"7091";"3760"
"1463859967.54852";"около 5 тысяч";"77";"агрессивный";"914";"404";"16";"4 года 10 месяцев";"около 197 тысяч";"168";"67 / 63";"8040";"15340";"17469";"6082";"9331";"8543";"7089";"3782"
"1463903153.41002";"около 4 тысяч";"77";"агрессивный";"915";"404";"16";"4 года 10 месяцев";"около 197 тысяч";"168";"67 / 63";"8038";"15340";"17469";"6053";"9274";"8450";"7045";"3443"
"1463946360.46738";"около 7 тысяч";"77";"агрессивный";"915";"404";"16";"4 года 10 месяцев";"около 197 тысяч";"168";"67 / 63";"8039";"15340";"17481";"6098";"9329";"8531";"7085";"3600"
"1463989552.77449";"около 7 тысяч";"77";"агрессивный";"915";"404";"16";"4 года 10 месяцев";"около 197 тысяч";"168";"67 / 63";"8045";"15340";"17486";"6053";"9282";"8410";"7045";"3744"
"1464032757.6216";"около 20 тысяч";"77";"озлобленный";"916";"404";"16";"4 года 10 месяцев";"около 197 тысяч";"168";"67 / 63";"8017";"15340";"17490";"6076";"9335";"8467";"7086";"3929"
"1464075954.4865";"около 22 тысяч";"77";"озлобленный";"917";"404";"16";"4 года 10 месяцев";"около 197 тысяч";"168";"67 / 63";"8017";"15340";"17491";"6060";"9271";"8405";"7053";"4038"
"1464119153.18376";"около 17 сотен";"77";"озлобленный";"918";"404";"16";"4 года 10 месяцев";"около 197 тысяч";"168";"67 / 63";"8013";"15340";"17490";"6049";"9325";"8480";"7094";"4222"
"1464162352.62468";"около 11 тысяч";"77";"озлобленный";"919";"404";"17";"4 года 10 месяцев";"около 198 тысяч";"168";"67 / 63";"7995";"15340";"17493";"5981";"8724";"8380";"7027";"4323"
"1464205556.98305";"около 4 тысяч";"77";"озлобленный";"919";"404";"17";"4 года 10 месяцев";"около 198 тысяч";"168";"67 / 63";"7995";"15340";"17502";"6041";"8789";"8468";"7063";"4334"
"1464248751.85431";"около 2 тысяч";"77";"озлобленный";"920";"404";"17";"4 года 10 месяцев";"около 198 тысяч";"168";"67 / 63";"7995";"15340";"17506";"5976";"8702";"8339";"7003";"4018"
"1464291956.98587";"около 3 тысяч";"77";"озлобленный";"920";"404";"17";"4 года 10 месяцев";"около 198 тысяч";"168";"67 / 63";"7994";"15340";"17513";"6067";"8763";"8430";"7060";"4104"
