"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856155.03863";"около 4 тысяч";"45";"добродетельный";"11";"276";"24";"2 года 4 месяца";"около 42 тысяч";"41";"124 / 38";"37170";"2431";"20467";"5450";"11920";"18187";"2540"
"1463860019.05715";"около 3 тысяч";"45";"добродетельный";"11";"276";"24";"2 года 4 месяца";"около 42 тысяч";"41";"124 / 38";"37170";"2431";"20493";"5450";"11928";"18206";"2645"
"1463903204.95875";"около 3 тысяч";"45";"добродетельный";"12";"276";"24";"2 года 4 месяца";"около 42 тысяч";"41";"124 / 38";"37170";"2431";"20148";"5417";"11770";"17975";"3112"
"1463946412.04458";"около 16 сотен";"45";"добродетельный";"14";"276";"24";"2 года 4 месяца";"около 42 тысяч";"41";"124 / 38";"37170";"2433";"20312";"5439";"11766";"18144";"3559"
"1463989604.29017";"около 5 тысяч";"45";"миролюбивый";"15";"276";"24";"2 года 4 месяца";"около 42 тысяч";"41";"124 / 38";"37170";"2433";"19999";"5421";"11568";"17929";"3778"
"1464032809.44636";"около 6 тысяч";"45";"добродушный";"17";"276";"24";"2 года 4 месяца";"около 42 тысяч";"41";"124 / 38";"37170";"2435";"20179";"5456";"11634";"18045";"9706"
"1464076006.00311";"около 5 тысяч";"45";"добродушный";"18";"276";"24";"2 года 4 месяца";"около 42 тысяч";"41";"124 / 38";"37170";"2434";"19973";"5432";"11488";"17856";"10104"
"1464119204.73562";"около 2 тысяч";"45";"добродушный";"19";"276";"24";"2 года 4 месяца";"около 43 тысяч";"41";"124 / 38";"37170";"2436";"20184";"5457";"11551";"18094";"9637"
"1464162404.1035";"около 16 тысяч";"45";"миролюбивый";"21";"276";"24";"2 года 4 месяца";"около 43 тысяч";"41";"124 / 38";"37170";"2434";"19894";"5414";"11372";"17848";"7831"
"1464205608.52045";"около 4 тысяч";"45";"миролюбивый";"21";"276";"24";"2 года 4 месяца";"около 43 тысяч";"41";"124 / 38";"37170";"2436";"20205";"5451";"11442";"18098";"8178"
"1464248803.37298";"около 3 тысяч";"45";"миролюбивый";"21";"276";"25";"2 года 4 месяца";"около 43 тысяч";"41";"124 / 38";"37170";"2439";"19933";"5123";"11215";"17779";"8568"
"1464292008.56239";"около 15 тысяч";"45";"миролюбивый";"22";"276";"25";"2 года 4 месяца";"около 43 тысяч";"41";"124 / 38";"37170";"2441";"20150";"5147";"11322";"17980";"8584"
