"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856160.16016";"около 5 тысяч";"71";"злобный";"815";"380";"45";"2 года 10 месяцев";"около 156 тысяч";"151";"21 / 19";"12543";"25550";"0";"8260";"812";"11930";"7623";"1928"
"1463860024.17853";"около 5 тысяч";"71";"злобный";"815";"380";"45";"2 года 10 месяцев";"около 156 тысяч";"151";"21 / 19";"12544";"25550";"0";"8267";"812";"11938";"7629";"1961"
"1463903210.07854";"около 7 сотен";"71";"злобный";"816";"380";"45";"2 года 10 месяцев";"около 156 тысяч";"151";"21 / 20";"12538";"25550";"0";"8194";"809";"11831";"7570";"1916"
"1463946417.16329";"около 5 тысяч";"71";"злобный";"816";"380";"45";"2 года 10 месяцев";"около 156 тысяч";"151";"21 / 20";"12537";"25550";"0";"8275";"814";"11920";"7617";"1979"
"1463989609.41903";"около 3 сотен";"71";"злобный";"817";"380";"45";"2 года 10 месяцев";"около 156 тысяч";"152";"21 / 20";"12534";"25550";"0";"8131";"811";"11933";"7559";"1679"
"1464032814.56893";"около 3 тысяч";"71";"злобный";"819";"380";"45";"2 года 10 месяцев";"около 156 тысяч";"152";"21 / 20";"12506";"25550";"0";"8199";"813";"12004";"7614";"1698"
"1464076011.12912";"около 4 тысяч";"71";"агрессивный";"819";"380";"45";"2 года 10 месяцев";"около 156 тысяч";"152";"21 / 20";"12501";"25550";"0";"8145";"810";"11920";"7567";"2411"
"1464119209.85791";"около 7 тысяч";"71";"агрессивный";"822";"380";"45";"2 года 10 месяцев";"около 157 тысяч";"152";"21 / 20";"12499";"25550";"0";"8309";"811";"12034";"7604";"2539"
"1464162409.22843";"около 13 тысяч";"71";"агрессивный";"822";"380";"45";"2 года 10 месяцев";"около 157 тысяч";"152";"21 / 20";"12486";"25550";"0";"8207";"802";"11856";"7516";"2318"
"1464205613.64043";"около 13 тысяч";"71";"агрессивный";"822";"380";"45";"2 года 10 месяцев";"около 157 тысяч";"152";"21 / 20";"12489";"25550";"0";"8303";"804";"11978";"7580";"2535"
"1464248808.49643";"около 13 тысяч";"71";"агрессивный";"822";"380";"45";"2 года 10 месяцев";"около 157 тысяч";"152";"21 / 20";"12491";"25550";"0";"8197";"783";"11798";"7519";"2679"
"1464292013.68573";"около 13 тысяч";"71";"агрессивный";"822";"380";"45";"2 года 10 месяцев";"около 157 тысяч";"152";"21 / 20";"12496";"25550";"0";"8300";"785";"11963";"7588";"2854"
