"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856170.39397";"около 6 тысяч";"69";"добродетельный";"821";"372";"16";"2 года 9 месяцев";"около 160 тысяч";"137";"1 / 4";"14506";"24392";"0";"9557";"9437";"8639";"8595";"1349"
"1463860034.41135";"около 6 тысяч";"69";"добродетельный";"821";"372";"16";"2 года 9 месяцев";"около 160 тысяч";"137";"1 / 4";"14506";"24392";"0";"9565";"9442";"8649";"8603";"1416"
"1463903220.2861";"около 8 тысяч";"69";"добродетельный";"821";"372";"16";"2 года 9 месяцев";"около 160 тысяч";"137";"1 / 4";"14503";"24392";"0";"9479";"9376";"8558";"8539";"1288"
"1463946427.42849";"около 7 тысяч";"69";"добродетельный";"821";"372";"16";"2 года 9 месяцев";"около 160 тысяч";"137";"1 / 4";"14499";"24392";"0";"9552";"9428";"8646";"8593";"1691"
"1463989619.66164";"около 6 тысяч";"69";"добродетельный";"822";"372";"16";"2 года 9 месяцев";"около 160 тысяч";"137";"1 / 4";"14490";"24392";"0";"9504";"9380";"8502";"8502";"1265"
"1464032824.78989";"около 2 сотен";"69";"добродетельный";"822";"372";"16";"2 года 9 месяцев";"около 160 тысяч";"138";"1 / 4";"14496";"24392";"0";"9604";"9437";"8748";"8565";"1328"
"1464076021.36038";"около 5 тысяч";"69";"добродетельный";"822";"372";"16";"2 года 9 месяцев";"около 160 тысяч";"138";"1 / 4";"14492";"24392";"0";"9472";"9366";"8688";"8518";"1477"
"1464119220.09924";"около 6 тысяч";"69";"добродетельный";"823";"372";"17";"2 года 9 месяцев";"около 160 тысяч";"138";"1 / 4";"14477";"24392";"0";"9572";"8985";"8755";"8572";"1232"
"1464162419.46561";"около 6 тысяч";"69";"добродетельный";"823";"372";"17";"2 года 9 месяцев";"около 160 тысяч";"138";"1 / 4";"14481";"24392";"0";"9458";"8888";"8641";"8487";"1688"
"1464205623.8481";"около 5 тысяч";"69";"добродетельный";"825";"372";"17";"2 года 9 месяцев";"около 160 тысяч";"138";"1 / 4";"14468";"24392";"0";"9611";"8945";"8730";"8549";"1399"
"1464248818.72527";"около 8 тысяч";"69";"абсолютное добро";"825";"372";"17";"2 года 9 месяцев";"около 160 тысяч";"138";"1 / 4";"14453";"24392";"0";"9433";"8849";"8579";"8463";"1212"
"1464292023.91284";"около 6 тысяч";"69";"абсолютное добро";"826";"372";"17";"2 года 9 месяцев";"около 161 тысяч";"138";"1 / 4";"14441";"24392";"0";"9589";"8908";"8688";"8544";"1402"
