"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856191.27651";"около 17 тысяч";"62";"миролюбивый";"835";"344";"40";"0";"0";"0"
"1463860055.22795";"около 7 тысяч";"62";"миролюбивый";"835";"344";"40";"0";"0";"0"
"1463903241.06929";"ни одного";"62";"добродушный";"837";"344";"40";"0";"0";"0"
"1463946448.26088";"около 3 тысяч";"62";"добродушный";"837";"344";"40";"0";"0";"0"
"1463989640.46977";"около 17 тысяч";"62";"миролюбивый";"838";"344";"40";"0";"0";"0"
"1464032845.66374";"около 4 тысяч";"62";"миролюбивый";"838";"344";"40";"0";"0";"0"
"1464076042.20341";"около 7 тысяч";"62";"миролюбивый";"845";"344";"40";"0";"0";"0"
"1464119240.94225";"около 27 тысяч";"62";"миролюбивый";"847";"344";"40";"0";"0";"0"
"1464162440.26047";"около 4 тысяч";"62";"миролюбивый";"847";"344";"40";"0";"0";"0"
"1464205644.66048";"около 16 сотен";"62";"добродушный";"848";"344";"41";"0";"0";"0"
"1464248839.55252";"около 3 тысяч";"62";"миролюбивый";"849";"344";"41";"0";"0";"0"
"1464292044.76344";"около 22 тысяч";"62";"добродушный";"850";"344";"41";"0";"0";"0"
