"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856216.99447";"около 6 тысяч";"70";"миролюбивый";"839";"376";"";"5 лет 10 месяцев";"около 177 тысяч";"171";"8 / 8";"13076";"24204";"0";"8771";"0";"11872";"8885";"4508"
"1463860080.98626";"около 8 тысяч";"70";"добродетельный";"840";"376";"";"5 лет 10 месяцев";"около 177 тысяч";"171";"8 / 8";"13072";"24204";"0";"8810";"0";"11881";"8892";"3641"
"1463903266.78519";"около 8 тысяч";"70";"миролюбивый";"840";"376";"";"5 лет 10 месяцев";"около 177 тысяч";"171";"8 / 8";"13076";"24204";"0";"8730";"0";"11779";"8829";"4135"
"1463946474.07108";"около 3 тысяч";"70";"миролюбивый";"841";"376";"";"5 лет 10 месяцев";"около 177 тысяч";"171";"8 / 8";"13062";"24204";"0";"8753";"0";"11854";"8892";"3923"
"1463989666.25908";"около 3 тысяч";"70";"миролюбивый";"841";"376";"";"5 лет 10 месяцев";"около 177 тысяч";"171";"8 / 8";"13064";"24204";"0";"8643";"0";"11716";"8812";"4449"
"1464032871.42807";"ни одного";"70";"миролюбивый";"841";"376";"";"5 лет 10 месяцев";"около 177 тысяч";"172";"8 / 8";"13069";"24204";"0";"8721";"0";"11952";"8883";"5084"
"1464076067.95686";"ни одного";"70";"миролюбивый";"841";"376";"";"5 лет 10 месяцев";"около 177 тысяч";"172";"8 / 8";"13076";"24204";"0";"8666";"0";"11863";"8836";"5573"
"1464119266.7117";"около 5 тысяч";"70";"миролюбивый";"844";"376";"";"5 лет 10 месяцев";"около 177 тысяч";"172";"8 / 8";"13070";"24204";"0";"8744";"0";"11961";"8898";"5046"
"1464162465.99975";"около 5 тысяч";"70";"миролюбивый";"844";"376";"";"5 лет 10 месяцев";"около 177 тысяч";"172";"8 / 8";"13073";"24204";"0";"8642";"0";"11820";"8805";"5534"
"1464205670.41789";"около 5 тысяч";"70";"миролюбивый";"845";"376";"";"5 лет 10 месяцев";"около 178 тысяч";"172";"8 / 8";"13063";"24204";"0";"8752";"0";"11912";"8872";"5571"
"1464248865.28675";"около 5 тысяч";"70";"миролюбивый";"845";"376";"";"5 лет 10 месяцев";"около 178 тысяч";"172";"8 / 8";"13069";"24204";"0";"8636";"0";"11747";"8783";"6015"
"1464292070.57541";"около 9 тысяч";"70";"миролюбивый";"847";"376";"";"5 лет 10 месяцев";"около 178 тысяч";"172";"8 / 8";"13058";"24204";"0";"8740";"0";"11875";"8853";"5990"
