"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856227.40243";"около 3 тысяч";"72";"миролюбивый";"988";"384";"8";"5 лет 4 месяца";"около 185 тысяч";"132";"71 / 37";"11946";"15950";"10005";"7675";"17550";"5459";"7975";"8498"
"1463860091.3906";"около 3 тысяч";"72";"миролюбивый";"988";"384";"8";"5 лет 4 месяца";"около 185 тысяч";"132";"71 / 37";"11946";"15950";"10006";"7679";"17569";"5460";"7980";"8569"
"1463903277.18518";"около 3 тысяч";"72";"миролюбивый";"988";"384";"8";"5 лет 4 месяца";"около 185 тысяч";"132";"71 / 37";"11948";"15950";"10006";"7611";"17337";"5419";"7930";"9000"
"1463946484.50568";"около 3 тысяч";"72";"добродушный";"988";"384";"8";"5 лет 4 месяца";"около 185 тысяч";"132";"71 / 37";"11954";"15950";"10012";"7673";"17484";"5464";"7990";"9661"
"1463989676.65938";"около 3 тысяч";"72";"добродушный";"988";"384";"8";"5 лет 4 месяца";"около 185 тысяч";"132";"71 / 37";"11956";"15950";"10014";"7595";"17275";"5403";"7934";"10116"
"1464032881.87425";"около 5 тысяч";"72";"миролюбивый";"991";"384";"8";"5 лет 4 месяца";"около 186 тысяч";"133";"71 / 37";"11936";"15950";"10020";"7664";"17419";"5543";"7982";"9452"
"1464076078.36074";"около 12 тысяч";"72";"миролюбивый";"992";"384";"9";"5 лет 4 месяца";"около 186 тысяч";"133";"71 / 37";"11932";"15950";"10020";"7612";"16259";"5488";"7934";"8704"
"1464119277.10984";"около 12 тысяч";"72";"миролюбивый";"992";"384";"9";"5 лет 4 месяца";"около 186 тысяч";"133";"71 / 37";"11935";"15950";"10018";"7677";"16384";"5543";"7986";"9358"
"1464162476.39485";"около 6 тысяч";"72";"миролюбивый";"993";"384";"9";"5 лет 4 месяца";"около 186 тысяч";"133";"71 / 37";"11904";"15950";"10020";"7614";"16157";"5474";"7906";"8388"
"1464205680.83981";"около 6 тысяч";"72";"миролюбивый";"993";"384";"9";"5 лет 4 месяца";"около 186 тысяч";"133";"71 / 37";"11912";"15950";"10019";"7685";"16343";"5532";"7972";"9037"
"1464248875.7123";"около тысячи";"72";"миролюбивый";"994";"384";"9";"5 лет 4 месяца";"около 186 тысяч";"133";"71 / 37";"11903";"15950";"10024";"7569";"16140";"5443";"7899";"7722"
"1464292080.98043";"около тысячи";"72";"миролюбивый";"994";"384";"9";"5 лет 4 месяца";"около 186 тысяч";"133";"71 / 37";"11907";"15950";"10027";"7665";"16232";"5504";"7967";"8309"
