"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856237.6644";"около 6 тысяч";"81";"миролюбивый";"817";"420";"";"6 лет 2 месяца";"около 268 тысяч";"190";"70 / 106";"5927";"4285";"21484";"4961";"0";"5434";"7045";"8533"
"1463860101.61395";"около 6 тысяч";"81";"миролюбивый";"817";"420";"";"6 лет 2 месяца";"около 268 тысяч";"190";"70 / 106";"5928";"4285";"21485";"4966";"0";"5435";"7049";"8602"
"1463903287.42559";"около 6 тысяч";"81";"миролюбивый";"817";"420";"";"6 лет 2 месяца";"около 268 тысяч";"190";"70 / 106";"5930";"4285";"21488";"4926";"0";"5401";"7004";"9039"
"1463946494.72297";"около 6 тысяч";"81";"добродушный";"817";"420";"";"6 лет 2 месяца";"около 268 тысяч";"190";"70 / 106";"5931";"4285";"21493";"4965";"0";"5444";"7047";"9700"
"1463989686.87451";"около 6 тысяч";"81";"добродушный";"817";"420";"";"6 лет 2 месяца";"около 268 тысяч";"190";"70 / 106";"5934";"4285";"21500";"4921";"0";"5386";"7009";"10157"
"1464032892.0914";"около 6 тысяч";"81";"добродушный";"817";"420";"";"6 лет 2 месяца";"около 268 тысяч";"190";"70 / 106";"5939";"4285";"21504";"4952";"0";"5434";"7063";"10773"
"1464076088.57475";"около 3 тысяч";"81";"добродушный";"818";"420";"";"6 лет 2 месяца";"около 268 тысяч";"191";"70 / 106";"5934";"4285";"21508";"4914";"0";"5448";"7011";"9624"
"1464119287.3188";"около 3 тысяч";"81";"добродушный";"818";"420";"";"6 лет 2 месяца";"около 268 тысяч";"191";"70 / 106";"5936";"4285";"21510";"4948";"0";"5505";"7045";"10246"
"1464162486.61726";"около 3 тысяч";"81";"добродушный";"818";"420";"";"6 лет 2 месяца";"около 268 тысяч";"191";"70 / 106";"5939";"4285";"21514";"4902";"0";"5449";"6982";"10629"
"1464205691.12478";"около 3 тысяч";"81";"добродушный";"818";"420";"";"6 лет 2 месяца";"около 268 тысяч";"191";"70 / 106";"5941";"4285";"21523";"4948";"0";"5507";"7041";"11163"
"1464248885.92852";"около 3 тысяч";"81";"добродушный";"818";"420";"";"6 лет 2 месяца";"около 268 тысяч";"191";"70 / 106";"5944";"4285";"21522";"4909";"0";"5425";"6991";"11526"
"1464292091.20889";"около 3 тысяч";"81";"добродушный";"818";"420";"";"6 лет 2 месяца";"около 268 тысяч";"191";"70 / 106";"5949";"4285";"21525";"4966";"0";"5483";"7054";"12093"
