"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856242.96247";"около 7 тысяч";"71";"чистое зло";"832";"380";"28";"0";"0";"0"
"1463860106.914";"около 2 сотен";"71";"чистое зло";"832";"380";"28";"0";"0";"0"
"1463903292.71279";"около 2 сотен";"71";"чистое зло";"832";"380";"28";"0";"0";"0"
"1463946500.01861";"около 9 тысяч";"71";"чистое зло";"834";"380";"28";"0";"0";"0"
"1463989692.16717";"около 7 тысяч";"71";"чистое зло";"835";"380";"28";"0";"0";"0"
"1464032897.38896";"около 10 тысяч";"71";"чистое зло";"836";"380";"28";"0";"0";"0"
"1464076093.86768";"около 10 тысяч";"71";"чистое зло";"836";"380";"28";"0";"0";"0"
"1464119292.61959";"около 11 тысяч";"71";"чистое зло";"838";"380";"28";"0";"0";"0"
"1464162491.91063";"около 7 тысяч";"71";"злобный";"838";"380";"28";"0";"0";"0"
"1464205696.41703";"около 9 тысяч";"71";"чистое зло";"839";"380";"28";"0";"0";"0"
"1464248891.22899";"около 5 тысяч";"71";"чистое зло";"840";"380";"28";"0";"0";"0"
"1464292096.51182";"около 12 тысяч";"71";"злобный";"841";"380";"";"0";"0";"0"
