"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856269.50553";"около 5 тысяч";"46";"агрессивный";"5";"280";"16";"0";"0";"0"
"1463860134.38473";"около 5 тысяч";"46";"агрессивный";"5";"280";"16";"0";"0";"0"
"1463903319.19537";"около 13 тысяч";"46";"агрессивный";"6";"280";"16";"0";"0";"0"
"1463946526.59563";"около 13 тысяч";"46";"агрессивный";"6";"280";"16";"0";"0";"0"
"1463989718.69544";"около тысячи";"46";"агрессивный";"7";"280";"16";"0";"0";"0"
"1464032923.95606";"около тысячи";"46";"агрессивный";"7";"280";"16";"0";"0";"0"
"1464076120.38153";"около 15 сотен";"46";"агрессивный";"7";"280";"16";"0";"0";"0"
"1464119319.09824";"около 15 сотен";"46";"агрессивный";"7";"280";"16";"0";"0";"0"
"1464162518.3589";"около 7 тысяч";"46";"агрессивный";"12";"280";"16";"0";"0";"0"
"1464205722.90828";"около 7 тысяч";"46";"агрессивный";"12";"280";"16";"0";"0";"0"
"1464248917.85095";"около 7 тысяч";"46";"агрессивный";"12";"280";"16";"0";"0";"0"
"1464292123.0688";"около 28 тысяч";"46";"агрессивный";"14";"280";"16";"0";"0";"0"
