"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856332.03775";"около 4 тысяч";"50";"беззлобный";"8";"296";"1";"1 год 10 месяцев";"около 59 тысяч";"78";"58 / 88";"37151";"0";"19299";"24402";"24859";"18506";"17926"
"1463860196.83152";"около 7 тысяч";"50";"беззлобный";"8";"296";"1";"1 год 10 месяцев";"около 59 тысяч";"78";"58 / 88";"37151";"0";"19321";"24429";"24888";"18519";"17992"
"1463903381.6332";"около 12 тысяч";"50";"беззлобный";"11";"296";"2";"1 год 10 месяцев";"около 59 тысяч";"78";"58 / 88";"37151";"0";"19006";"23751";"24527";"18303";"18307"
"1463946589.06948";"около 5 тысяч";"50";"беззлобный";"11";"296";"2";"1 год 10 месяцев";"около 59 тысяч";"78";"58 / 88";"37151";"0";"19202";"24040";"24793";"18509";"17035"
"1463989781.15249";"около 4 тысяч";"50";"беззлобный";"11";"296";"2";"1 год 10 месяцев";"около 59 тысяч";"78";"58 / 88";"37151";"0";"18964";"23640";"24451";"18304";"17348"
"1464032987.47562";"около тысячи";"50";"беззлобный";"12";"296";"2";"1 год 10 месяцев";"около 59 тысяч";"80";"58 / 88";"37151";"0";"19212";"23846";"25854";"18511";"16586"
"1464076182.83281";"около 18 сотен";"50";"беззлобный";"13";"296";"3";"1 год 10 месяцев";"около 59 тысяч";"80";"58 / 88";"37151";"0";"18988";"22952";"25489";"18300";"16866"
"1464119381.56247";"около 15 тысяч";"50";"беззлобный";"19";"296";"3";"1 год 10 месяцев";"около 59 тысяч";"80";"58 / 88";"37151";"0";"19199";"23217";"25749";"18543";"15876"
"1464162580.8438";"около 5 тысяч";"50";"беззлобный";"20";"296";"3";"1 год 10 месяцев";"около 60 тысяч";"80";"58 / 88";"37151";"0";"18791";"22763";"25308";"18287";"16203"
"1464205786.41002";"около 5 тысяч";"50";"беззлобный";"20";"296";"3";"1 год 10 месяцев";"около 60 тысяч";"80";"58 / 88";"37151";"0";"19072";"23036";"25646";"18542";"16262"
"1464248980.53736";"около 4 тысяч";"50";"беззлобный";"21";"296";"4";"1 год 10 месяцев";"около 60 тысяч";"80";"58 / 88";"37151";"0";"18727";"22010";"25176";"18244";"15893"
"1464292185.5521";"около 6 тысяч";"50";"добродушный";"22";"296";"4";"1 год 10 месяцев";"около 60 тысяч";"80";"58 / 88";"37151";"0";"18916";"22237";"25460";"18470";"14651"
