"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856347.53918";"около 3 тысяч";"77";"нейтральный";"830";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"132";"75 / 68";"8339";"8976";"14532";"3867";"5262";"3349";"6962";"0"
"1463860212.17149";"около 3 тысяч";"77";"нейтральный";"830";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"132";"75 / 68";"8339";"8976";"14532";"3871";"5262";"3352";"6967";"0"
"1463903396.95364";"около 5 тысяч";"77";"нейтральный";"830";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"132";"75 / 68";"8341";"8976";"14535";"3843";"5236";"3335";"6929";"0"
"1463946604.46945";"ни одного";"77";"нейтральный";"831";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"133";"75 / 68";"8341";"8976";"14537";"3859";"5262";"3431";"6970";"0"
"1463989796.54242";"ни одного";"77";"нейтральный";"831";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"133";"75 / 68";"8343";"8976";"14538";"3827";"5246";"3395";"6935";"0"
"1464033002.81741";"около 4 сотен";"77";"нейтральный";"831";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"133";"75 / 68";"8348";"8976";"14548";"3854";"5280";"3417";"6984";"0"
"1464076198.20855";"около 4 тысяч";"77";"нейтральный";"831";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"133";"75 / 68";"8347";"8976";"14551";"3835";"5262";"3385";"6950";"0"
"1464119396.89185";"около 3 тысяч";"77";"нейтральный";"832";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"133";"75 / 68";"8344";"8976";"14560";"3859";"5292";"3413";"6984";"0"
"1464162596.17291";"около 4 тысяч";"77";"нейтральный";"832";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"133";"75 / 68";"8345";"8976";"14564";"3833";"5252";"3387";"6913";"0"
"1464205801.74266";"около 8 тысяч";"77";"нейтральный";"833";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"133";"75 / 68";"8342";"8976";"14563";"3884";"5295";"3403";"6966";"0"
"1464248995.85622";"около 3 тысяч";"77";"нейтральный";"834";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"133";"75 / 68";"8348";"8976";"14569";"3835";"5251";"3367";"6912";"0"
"1464292200.89268";"около 3 тысяч";"77";"нейтральный";"834";"404";"24";"5 лет 8 месяцев";"около 222 тысяч";"133";"75 / 68";"8349";"8976";"14574";"3881";"5277";"3393";"6974";"0"
