"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856363.09865";"около 7 тысяч";"46";"нейтральный";"6";"280";"7";"1 год 3 месяца";"около 47 тысяч";"92";"118 / 116";"37225";"7795";"20743";"18776";"39165";"18510";"0"
"1463860227.70521";"около тысячи";"46";"нейтральный";"7";"280";"7";"1 год 3 месяца";"около 47 тысяч";"92";"118 / 116";"37225";"7796";"20763";"18797";"39225";"18524";"0"
"1463903412.44988";"около 17 сотен";"46";"нейтральный";"7";"280";"7";"1 год 3 месяца";"около 47 тысяч";"92";"118 / 116";"37225";"7796";"20486";"18524";"38402";"18297";"0"
"1463946619.97503";"около 2 тысяч";"46";"нейтральный";"8";"280";"7";"1 год 3 месяца";"около 47 тысяч";"93";"118 / 117";"37225";"7843";"20780";"18692";"39304";"18503";"0"
"1463989812.059";"около 2 тысяч";"46";"нейтральный";"8";"280";"7";"1 год 3 месяца";"около 47 тысяч";"93";"118 / 117";"37225";"7843";"20517";"18460";"38561";"18281";"0"
"1464033018.33958";"около тысячи";"46";"нейтральный";"8";"280";"8";"1 год 3 месяца";"около 47 тысяч";"93";"118 / 117";"37225";"7849";"20788";"17666";"39220";"18477";"0"
"1464076213.70696";"около 10 тысяч";"46";"нейтральный";"13";"280";"8";"1 год 3 месяца";"около 47 тысяч";"93";"118 / 117";"37225";"7854";"20476";"17473";"38464";"18267";"0"
"1464119412.40053";"около 19 тысяч";"46";"нейтральный";"14";"280";"8";"1 год 3 месяца";"около 47 тысяч";"93";"118 / 117";"37225";"7854";"20698";"17618";"39153";"18497";"0"
"1464162611.68146";"около 12 тысяч";"46";"нейтральный";"14";"280";"8";"1 год 3 месяца";"около 47 тысяч";"93";"118 / 117";"37225";"7857";"20327";"17366";"38350";"18250";"0"
"1464205817.25185";"около 8 тысяч";"46";"нейтральный";"15";"280";"8";"1 год 3 месяца";"около 47 тысяч";"93";"118 / 117";"37225";"7858";"20532";"17552";"39041";"18481";"0"
"1464249011.35241";"около 6 тысяч";"46";"нейтральный";"16";"280";"8";"1 год 3 месяца";"около 47 тысяч";"93";"118 / 117";"37225";"7860";"20189";"17348";"38173";"18204";"0"
"1464292216.40032";"около 9 тысяч";"46";"беззлобный";"17";"280";"8";"1 год 3 месяца";"около 47 тысяч";"93";"118 / 117";"37225";"7859";"20463";"17461";"38864";"18402";"0"
