"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856373.51446";"около 19 сотен";"53";"абсолютное добро";"7";"308";"";"0";"0";"0"
"1463860238.10636";"ни одного";"53";"абсолютное добро";"7";"308";"";"0";"0";"0"
"1463903422.87068";"около тысячи";"53";"абсолютное добро";"8";"308";"";"0";"0";"0"
"1463946630.37732";"около 18 сотен";"53";"абсолютное добро";"8";"308";"";"0";"0";"0"
"1463989822.45982";"около 17 сотен";"53";"абсолютное добро";"9";"308";"";"0";"0";"0"
"1464033028.75322";"около 3 тысяч";"53";"абсолютное добро";"10";"308";"";"0";"0";"0"
"1464076224.14361";"около 4 тысяч";"53";"абсолютное добро";"11";"308";"";"0";"0";"0"
"1464119422.80305";"около 5 тысяч";"53";"абсолютное добро";"11";"308";"";"0";"0";"0"
"1464162622.07932";"около 4 тысяч";"53";"добродетельный";"12";"308";"";"0";"0";"0"
"1464205827.64807";"около 4 тысяч";"53";"добродетельный";"12";"308";"";"0";"0";"0"
"1464249021.75747";"около тысячи";"53";"абсолютное добро";"13";"308";"";"0";"0";"0"
"1464292226.79406";"около 21 тысяч";"53";"абсолютное добро";"14";"308";"";"0";"0";"0"
