"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856383.90821";"около 7 тысяч";"48";"миролюбивый";"12";"288";"16";"0";"0";"0"
"1463860248.52046";"около 7 тысяч";"48";"миролюбивый";"12";"288";"16";"0";"0";"0"
"1463903433.27197";"около 3 тысяч";"48";"миролюбивый";"12";"288";"16";"0";"0";"0"
"1463946640.79316";"около 4 тысяч";"48";"миролюбивый";"14";"288";"16";"0";"0";"0"
"1463989832.8518";"около 18 сотен";"48";"миролюбивый";"14";"288";"16";"0";"0";"0"
"1464033039.14892";"около 6 тысяч";"48";"миролюбивый";"15";"288";"16";"0";"0";"0"
"1464076234.53375";"около 7 тысяч";"48";"миролюбивый";"16";"288";"16";"0";"0";"0"
"1464119433.21246";"около тысячи";"48";"миролюбивый";"16";"288";"16";"0";"0";"0"
"1464162632.47883";"около 3 тысяч";"49";"миролюбивый";"17";"292";"16";"0";"0";"0"
"1464205838.09294";"около 3 тысяч";"49";"миролюбивый";"17";"292";"16";"0";"0";"0"
"1464249032.15244";"около 3 тысяч";"49";"миролюбивый";"18";"292";"16";"0";"0";"0"
"1464292237.25417";"около 3 тысяч";"49";"миролюбивый";"19";"292";"16";"0";"0";"0"
