"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856429.98209";"около 18 сотен";"56";"миролюбивый";"13";"320";"";"4 года 5 месяцев";"около 83 тысяч";"64";"29 / 36";"36934";"0";"15034";"0";"6508";"18463";"6498"
"1463860289.71662";"около 18 сотен";"56";"миролюбивый";"13";"320";"";"4 года 5 месяцев";"около 83 тысяч";"64";"29 / 36";"36934";"0";"15044";"0";"6516";"18478";"6594"
"1463903474.50276";"около 5 тысяч";"56";"миролюбивый";"13";"320";"";"4 года 5 месяцев";"около 83 тысяч";"64";"29 / 36";"36934";"0";"14854";"0";"6446";"18264";"7026"
"1463946682.11829";"около 5 тысяч";"56";"миролюбивый";"13";"320";"";"4 года 5 месяцев";"около 83 тысяч";"64";"29 / 36";"36934";"0";"15023";"0";"6505";"18484";"7699"
"1463989874.07744";"около 2 тысяч";"56";"миролюбивый";"14";"320";"";"4 года 5 месяцев";"около 84 тысяч";"64";"29 / 36";"36934";"0";"14896";"0";"6395";"18254";"7056"
"1464033080.74107";"около 3 тысяч";"56";"миролюбивый";"20";"320";"";"4 года 5 месяцев";"около 84 тысяч";"64";"29 / 36";"36934";"0";"15051";"0";"6428";"18462";"5925"
"1464076275.82519";"около сотни";"56";"миролюбивый";"20";"320";"";"4 года 5 месяцев";"около 84 тысяч";"65";"29 / 36";"36934";"0";"14889";"0";"6612";"18262";"6382"
"1464119474.52048";"около 4 тысяч";"56";"миролюбивый";"21";"320";"";"4 года 5 месяцев";"около 84 тысяч";"65";"29 / 36";"36934";"0";"15139";"0";"6644";"18500";"6503"
"1464162673.82455";"около 7 сотен";"56";"миролюбивый";"21";"320";"";"4 года 5 месяцев";"около 84 тысяч";"65";"29 / 36";"36934";"0";"14914";"0";"6559";"18241";"6651"
"1464205879.3828";"около 7 сотен";"56";"миролюбивый";"21";"320";"";"4 года 5 месяцев";"около 84 тысяч";"65";"29 / 36";"36934";"0";"15131";"0";"6630";"18488";"7262"
"1464249073.41693";"около 7 сотен";"56";"миролюбивый";"21";"320";"";"4 года 5 месяцев";"около 84 тысяч";"65";"29 / 36";"36934";"0";"14900";"0";"6534";"18224";"7707"
"1464292278.62324";"около 3 тысяч";"56";"миролюбивый";"23";"320";"";"4 года 5 месяцев";"около 84 тысяч";"65";"29 / 36";"36934";"0";"15158";"0";"6592";"18414";"8296"
