"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856580.99623";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11918";"21137";"0";"8372";"0";"18063";"9718";"0"
"1463860440.45739";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11918";"21137";"0";"8377";"0";"18089";"9726";"0"
"1463903625.19435";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11920";"21137";"0";"8306";"0";"17892";"9658";"0"
"1463946832.99742";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11925";"21137";"0";"8382";"0";"18102";"9743";"0"
"1463990024.91571";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11928";"21137";"0";"8287";"0";"17919";"9657";"0"
"1464033231.85605";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11934";"21137";"0";"8361";"0";"18099";"9740";"0"
"1464076426.66998";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11938";"21137";"0";"8299";"0";"17948";"9679";"0"
"1464119625.36262";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11944";"21137";"0";"8375";"0";"18178";"9750";"0"
"1464162824.66333";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11951";"21137";"0";"8273";"0";"17922";"9643";"0"
"1464206030.13948";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11960";"21137";"0";"8372";"0";"18112";"9743";"0"
"1464249224.23712";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11965";"21137";"0";"0";"0"
"1464292429.66099";"около 3 тысяч";"72";"нейтральный";"827";"384";"";"3 года 10 месяцев";"около 183 тысяч";"207";"20 / 25";"11968";"21137";"0";"0";"0"
