"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856642.60847";"около 3 тысяч";"51";"нейтральный";"2";"300";"11";"2 года 3 месяца";"около 65 тысяч";"99";"45 / 47";"37244";"0";"19300";"13373";"30718";"18563";"0"
"1463860501.99061";"около 8 сотен";"51";"нейтральный";"2";"300";"11";"2 года 3 месяца";"около 65 тысяч";"99";"45 / 47";"37244";"0";"19322";"13384";"30735";"18578";"0"
"1463903686.65986";"около сотни";"51";"нейтральный";"3";"300";"11";"2 года 3 месяца";"около 65 тысяч";"100";"45 / 47";"37245";"0";"19094";"13249";"30298";"18355";"0"
"1463946894.4814";"около 10 тысяч";"51";"нейтральный";"4";"300";"11";"2 года 3 месяца";"около 66 тысяч";"100";"46 / 47";"37245";"0";"19309";"13333";"31088";"18565";"0"
"1463990086.43769";"около 10 тысяч";"51";"нейтральный";"4";"300";"11";"2 года 3 месяца";"около 66 тысяч";"100";"46 / 47";"37245";"0";"19067";"13230";"30667";"18361";"0"
"1464033293.44922";"около 7 тысяч";"51";"нейтральный";"5";"300";"12";"2 года 3 месяца";"около 66 тысяч";"100";"46 / 48";"37245";"0";"19267";"12595";"30913";"18560";"0"
"1464076488.20079";"около 7 тысяч";"51";"нейтральный";"5";"300";"12";"2 года 3 месяца";"около 66 тысяч";"100";"46 / 48";"37245";"0";"19065";"12482";"30543";"18367";"0"
"1464119686.92189";"около 17 сотен";"51";"нейтральный";"6";"300";"12";"2 года 3 месяца";"около 66 тысяч";"100";"46 / 49";"37245";"0";"19307";"12561";"30930";"18577";"0"
"1464162886.17729";"около 17 сотен";"51";"нейтральный";"6";"300";"12";"2 года 3 месяца";"около 66 тысяч";"100";"46 / 49";"37245";"0";"19023";"12411";"30469";"18333";"0"
"1464206091.65508";"около 6 тысяч";"51";"нейтральный";"7";"300";"12";"2 года 3 месяца";"около 66 тысяч";"100";"47 / 49";"37245";"0";"19312";"12535";"30794";"18544";"0"
"1464249285.79542";"около 6 тысяч";"51";"нейтральный";"7";"300";"12";"2 года 3 месяца";"около 66 тысяч";"100";"47 / 49";"37245";"0";"19026";"12411";"30310";"18283";"0"
"1464292491.19525";"около тысячи";"51";"нейтральный";"8";"300";"12";"2 года 3 месяца";"около 66 тысяч";"100";"47 / 49";"37245";"0";"19181";"12481";"30619";"18478";"0"
