"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856647.95496";"около 6 тысяч";"77";"нейтральный";"986";"404";"";"0";"0";"0"
"1463860507.2767";"около 6 тысяч";"77";"нейтральный";"986";"404";"";"0";"0";"0"
"1463903691.94962";"около 9 тысяч";"77";"нейтральный";"993";"404";"";"0";"0";"0"
"1463946899.77556";"около 6 тысяч";"77";"нейтральный";"994";"404";"";"0";"0";"0"
"1463990091.72634";"около 11 тысяч";"77";"нейтральный";"994";"404";"";"0";"0";"0"
"1464033298.76858";"около 3 тысяч";"77";"нейтральный";"995";"404";"";"0";"0";"0"
"1464076493.49269";"около 3 тысяч";"77";"нейтральный";"996";"404";"";"0";"0";"0"
"1464119692.21429";"около 5 тысяч";"77";"нейтральный";"996";"404";"";"0";"0";"0"
"1464162891.46935";"около 8 тысяч";"77";"нейтральный";"996";"404";"";"0";"0";"0"
"1464206096.95425";"около 7 тысяч";"77";"нейтральный";"997";"404";"";"0";"0";"0"
"1464249291.09041";"около 3 тысяч";"77";"нейтральный";"998";"404";"";"0";"0";"0"
"1464292496.49374";"около 4 тысяч";"77";"нейтральный";"998";"404";"";"0";"0";"0"
