"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856663.32821";"около 21 тысяч";"38";"нейтральный";"11";"248";"19";"5 месяцев";"около 29 тысяч";"34";"145 / 68";"37171";"2931";"24095";"7574";"19562";"18301";"0"
"1463860522.60244";"около 21 тысяч";"38";"нейтральный";"11";"248";"19";"5 месяцев";"около 29 тысяч";"34";"145 / 68";"37171";"2931";"24121";"7576";"19580";"18316";"0"
"1463903707.26362";"около 14 тысяч";"38";"нейтральный";"11";"248";"19";"5 месяцев";"около 29 тысяч";"34";"145 / 68";"37171";"2931";"23811";"7536";"19317";"18068";"0"
"1463946915.08346";"около 6 тысяч";"39";"нейтральный";"13";"252";"19";"5 месяцев";"около 29 тысяч";"34";"145 / 68";"37171";"2931";"23877";"7582";"19298";"18262";"0"
"1463990107.06948";"около 4 тысяч";"39";"нейтральный";"13";"252";"19";"5 месяцев";"около 29 тысяч";"34";"145 / 68";"37171";"2932";"23499";"7547";"19057";"18052";"0"
"1464033314.10277";"около 2 тысяч";"39";"нейтральный";"15";"252";"19";"5 месяцев";"около 29 тысяч";"34";"145 / 68";"37171";"2932";"23806";"7599";"19071";"18236";"0"
"1464076508.79445";"ни одного";"39";"нейтральный";"15";"252";"19";"5 месяцев";"около 29 тысяч";"35";"145 / 68";"37171";"2932";"23559";"7566";"20103";"18031";"0"
"1464119707.54644";"около 7 тысяч";"39";"нейтральный";"15";"252";"19";"5 месяцев";"около 29 тысяч";"35";"145 / 68";"37171";"2935";"23958";"7607";"20245";"18279";"0"
"1464162906.79319";"около тысячи";"39";"нейтральный";"15";"252";"19";"5 месяцев";"около 29 тысяч";"35";"145 / 68";"37171";"2936";"23622";"7541";"19863";"17996";"0"
"1464206112.30823";"около 4 тысяч";"39";"добродушный";"17";"252";"19";"5 месяцев";"около 29 тысяч";"35";"145 / 68";"37171";"2936";"23899";"7606";"20002";"18247";"11840"
"1464249306.43639";"около тысячи";"39";"добродушный";"17";"252";"19";"5 месяцев";"около 29 тысяч";"35";"145 / 68";"37171";"2936";"23319";"7537";"19571";"17956";"12196"
"1464292511.85748";"около 14 тысяч";"39";"миролюбивый";"18";"252";"19";"5 месяцев";"около 29 тысяч";"35";"145 / 68";"37171";"2939";"23608";"7579";"19658";"18173";"9354"
