"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856689.25113";"около 7 тысяч";"75";"добродушный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9096";"15580";"0";"6086";"0";"5484";"7295";"11179"
"1463860548.52446";"около 7 тысяч";"75";"добродушный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9096";"15580";"0";"6089";"0";"5484";"7292";"11260"
"1463903733.13861";"около 7 тысяч";"75";"добродушный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9094";"15580";"0";"6036";"0";"5445";"7242";"11643"
"1463946940.99458";"около 7 тысяч";"75";"добродушный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9099";"15580";"0";"6087";"0";"5482";"7287";"12243"
"1463990133.00407";"около 7 тысяч";"75";"добродушный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9107";"15580";"0";"6042";"0";"5431";"7241";"12637"
"1464033340.10835";"около 7 тысяч";"75";"добродушный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9111";"15580";"0";"6080";"0";"5480";"7301";"13186"
"1464076534.70594";"около 7 тысяч";"75";"добродушный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9112";"15580";"0";"6044";"0";"5431";"7266";"13524"
"1464119733.46969";"около 7 тысяч";"75";"добродушный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9114";"15580";"0";"6099";"0";"5485";"7310";"14075"
"1464162932.70242";"около 7 тысяч";"75";"беззлобный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9118";"15580";"0";"6024";"0";"5435";"7243";"14431"
"1464206138.29224";"около 7 тысяч";"75";"беззлобный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9122";"15580";"0";"6087";"0";"5492";"7304";"14940"
"1464249332.34216";"около 7 тысяч";"75";"беззлобный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9126";"15580";"0";"6024";"0";"5410";"7251";"15280"
"1464292537.77404";"около 7 тысяч";"75";"беззлобный";"999";"396";"";"4 года 7 месяцев";"около 208 тысяч";"148";"38 / 37";"9128";"15580";"0";"6089";"0";"5473";"7315";"15807"
