"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856704.94808";"около 6 тысяч";"55";"нейтральный";"9";"316";"";"2 года 4 месяца";"около 83 тысяч";"143";"0 / 2";"37142";"0";"16875";"0";"35437";"18501";"0"
"1463860564.19949";"около 6 тысяч";"55";"нейтральный";"9";"316";"";"2 года 4 месяца";"около 83 тысяч";"143";"0 / 2";"37142";"0";"16889";"0";"35478";"18514";"0"
"1463903748.82757";"около 7 тысяч";"55";"нейтральный";"9";"316";"";"2 года 4 месяца";"около 83 тысяч";"143";"0 / 2";"37142";"0";"16686";"0";"34847";"18318";"0"
"1463946956.68554";"около 3 тысяч";"55";"нейтральный";"10";"316";"";"2 года 4 месяца";"около 83 тысяч";"143";"0 / 2";"37142";"0";"16854";"0";"35382";"18532";"0"
"1463990148.69977";"около 3 тысяч";"55";"нейтральный";"11";"316";"";"2 года 4 месяца";"около 83 тысяч";"143";"0 / 2";"37142";"0";"16629";"0";"34794";"18324";"0"
"1464033355.80974";"около тысячи";"56";"нейтральный";"13";"320";"";"2 года 4 месяца";"около 83 тысяч";"143";"0 / 2";"37142";"0";"16767";"0";"35308";"18530";"0"
"1464076550.39905";"около 7 тысяч";"56";"нейтральный";"14";"320";"";"2 года 4 месяца";"около 83 тысяч";"143";"0 / 2";"37142";"0";"16559";"0";"34695";"18339";"0"
"1464119749.16385";"около 3 тысяч";"56";"нейтральный";"15";"320";"";"2 года 4 месяца";"около 84 тысяч";"143";"0 / 2";"37142";"0";"16725";"0";"35223";"18562";"0"
"1464162948.3934";"около 8 тысяч";"56";"нейтральный";"16";"320";"";"2 года 4 месяца";"около 84 тысяч";"143";"0 / 2";"37142";"0";"16531";"0";"34600";"18320";"0"
"1464206153.96907";"около 14 тысяч";"56";"нейтральный";"17";"320";"";"2 года 4 месяца";"около 84 тысяч";"143";"0 / 2";"37142";"0";"16728";"0";"35174";"18556";"0"
"1464249348.05395";"около 11 тысяч";"56";"нейтральный";"18";"320";"";"2 года 4 месяца";"около 84 тысяч";"143";"0 / 2";"37142";"0";"16443";"0";"34565";"18292";"0"
"1464292553.45787";"около 9 тысяч";"56";"нейтральный";"17";"320";"";"2 года 4 месяца";"около 84 тысяч";"143";"0 / 2";"37142";"0";"16644";"0";"35043";"18521";"0"
