"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856710.05193";"около 3 тысяч";"49";"миролюбивый";"4";"292";"10";"1 год 1 месяц";"около 58 тысяч";"76";"11 / 2";"37119";"0";"18744";"14551";"24483";"18443";"8208"
"1463860569.30004";"около 3 тысяч";"49";"миролюбивый";"4";"292";"10";"1 год 1 месяц";"около 58 тысяч";"76";"11 / 2";"37119";"0";"18761";"14564";"24509";"18457";"8279"
"1463903753.93813";"около 3 тысяч";"49";"миролюбивый";"4";"292";"10";"1 год 1 месяц";"около 58 тысяч";"76";"11 / 2";"37119";"0";"18527";"14387";"24212";"18256";"8694"
"1463946961.78429";"около 3 тысяч";"49";"миролюбивый";"4";"292";"10";"1 год 1 месяц";"около 58 тысяч";"76";"11 / 2";"37119";"0";"18766";"14495";"24539";"18480";"9401"
"1463990153.81603";"около тысячи";"49";"добродушный";"7";"292";"11";"1 год 1 месяц";"около 58 тысяч";"76";"11 / 2";"37119";"0";"19934";"13605";"24039";"18213";"9848"
"1464033360.93654";"около 5 тысяч";"49";"добродушный";"7";"292";"11";"1 год 1 месяц";"около 58 тысяч";"76";"11 / 2";"37119";"0";"18793";"13715";"24279";"18411";"10455"
"1464076555.50309";"около 16 сотен";"49";"добродушный";"7";"292";"11";"1 год 1 месяц";"около 58 тысяч";"76";"11 / 2";"37119";"0";"18402";"13590";"23987";"18205";"10862"
"1464119754.26768";"около 2 тысяч";"49";"добродушный";"9";"292";"11";"1 год 1 месяц";"около 58 тысяч";"76";"11 / 2";"37119";"0";"18642";"13680";"24120";"18410";"10715"
"1464162953.50352";"около 3 тысяч";"49";"добродушный";"9";"292";"11";"1 год 1 месяц";"около 59 тысяч";"76";"11 / 2";"37119";"0";"18374";"13503";"23700";"18110";"11072"
"1464206159.07052";"около 6 тысяч";"49";"беззлобный";"10";"292";"11";"1 год 1 месяц";"около 59 тысяч";"76";"11 / 2";"37119";"0";"18526";"13629";"23949";"18359";"17964"
"1464249353.22046";"около тысячи";"49";"беззлобный";"11";"292";"11";"1 год 1 месяц";"около 59 тысяч";"76";"11 / 2";"37119";"0";"18110";"13479";"23558";"18087";"17598"
"1464292558.56202";"около 3 тысяч";"49";"беззлобный";"12";"292";"11";"1 год 1 месяц";"около 59 тысяч";"76";"11 / 2";"37119";"0";"18375";"13540";"23803";"18311";"17702"
