"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856772.37531";"около 4 тысяч";"77";"добродетельный";"832";"404";"";"6 лет 3 месяца";"около 215 тысяч";"153";"58 / 58";"8050";"9245";"21754";"4829";"0";"5443";"7159";"2560"
"1463860631.58706";"около 4 тысяч";"77";"добродетельный";"832";"404";"";"6 лет 3 месяца";"около 215 тысяч";"153";"58 / 58";"8051";"9245";"21755";"4834";"0";"5444";"7163";"2667"
"1463903816.20047";"около 4 тысяч";"77";"добродетельный";"833";"404";"";"6 лет 3 месяца";"около 215 тысяч";"153";"58 / 58";"8053";"9245";"21758";"4801";"0";"5396";"7118";"2487"
"1463947024.0694";"около 4 тысяч";"77";"добродетельный";"834";"404";"";"6 лет 3 месяца";"около 216 тысяч";"153";"58 / 58";"8045";"9245";"21765";"4763";"0";"5432";"7160";"3263"
"1463990216.10054";"около 8 тысяч";"77";"добродетельный";"835";"404";"";"6 лет 3 месяца";"около 216 тысяч";"153";"58 / 58";"8049";"9245";"21773";"4731";"0";"5375";"7116";"3795"
"1464033423.33318";"около 13 тысяч";"77";"добродетельный";"835";"404";"";"6 лет 3 месяца";"около 216 тысяч";"153";"58 / 58";"8048";"9245";"21775";"4784";"0";"5413";"7166";"3572"
"1464076617.74622";"около 14 тысяч";"77";"миролюбивый";"835";"404";"";"6 лет 3 месяца";"около 216 тысяч";"153";"58 / 58";"8049";"9245";"21778";"4737";"0";"5372";"7124";"3744"
"1464119816.59356";"около 5 тысяч";"77";"миролюбивый";"836";"404";"";"6 лет 3 месяца";"около 216 тысяч";"153";"58 / 58";"8045";"9245";"21780";"4757";"0";"5404";"7160";"4108"
"1464163015.71924";"около 6 тысяч";"77";"миролюбивый";"836";"404";"";"6 лет 3 месяца";"около 216 тысяч";"153";"58 / 58";"8043";"9245";"21783";"4717";"0";"5341";"7096";"4576"
"1464206221.33973";"около 6 тысяч";"77";"добродетельный";"836";"404";"";"6 лет 3 месяца";"около 216 тысяч";"153";"58 / 58";"8044";"9245";"21791";"4750";"0";"5388";"7142";"3712"
"1464249415.5429";"около 5 тысяч";"77";"добродетельный";"838";"404";"";"6 лет 3 месяца";"около 216 тысяч";"153";"58 / 58";"8037";"9245";"21792";"4699";"0";"5310";"7081";"4134"
"1464292621.01163";"около 6 тысяч";"77";"добродетельный";"838";"404";"";"6 лет 3 месяца";"около 216 тысяч";"153";"58 / 58";"8040";"9245";"21796";"4721";"0";"5360";"7143";"4077"
