"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856839.05767";"около 6 тысяч";"49";"миролюбивый";"16";"292";"9";"10 месяцев";"около 58 тысяч";"52";"4 / 2";"36839";"0";"18601";"15779";"9622";"18064";"5341"
"1463860698.23194";"около 6 тысяч";"49";"миролюбивый";"16";"292";"9";"10 месяцев";"около 58 тысяч";"52";"4 / 2";"36839";"0";"18621";"15794";"9632";"18076";"5420"
"1463903882.8197";"около 13 тысяч";"49";"миролюбивый";"18";"292";"10";"10 месяцев";"около 58 тысяч";"52";"4 / 2";"36839";"0";"18349";"14781";"9506";"17867";"5591"
"1463947090.83859";"около 3 тысяч";"49";"миролюбивый";"19";"292";"10";"10 месяцев";"около 58 тысяч";"52";"4 / 2";"36839";"0";"18471";"14890";"9556";"18052";"6262"
"1463990282.78361";"около 16 сотен";"49";"миролюбивый";"19";"292";"10";"10 месяцев";"около 58 тысяч";"52";"4 / 2";"36839";"0";"18321";"14751";"9378";"17797";"6723"
"1464033490.15935";"около 3 тысяч";"49";"миролюбивый";"19";"292";"10";"10 месяцев";"около 58 тысяч";"52";"4 / 2";"36839";"0";"18446";"14871";"9480";"18014";"7387"
"1464076684.39857";"около 3 тысяч";"49";"миролюбивый";"21";"292";"10";"10 месяцев";"около 58 тысяч";"52";"4 / 2";"36839";"0";"18233";"14732";"9413";"17824";"7826"
"1464119883.3";"около 16 сотен";"49";"миролюбивый";"22";"292";"10";"10 месяцев";"около 59 тысяч";"52";"4 / 2";"36839";"0";"18487";"14824";"9432";"18011";"7927"
"1464163082.40126";"около 16 сотен";"49";"миролюбивый";"22";"292";"10";"10 месяцев";"около 59 тысяч";"52";"4 / 2";"36839";"0";"18228";"14620";"9295";"17783";"8353"
"1464206288.0415";"около 7 тысяч";"49";"миролюбивый";"24";"292";"10";"10 месяцев";"около 59 тысяч";"52";"4 / 2";"36839";"0";"18283";"14772";"9302";"18004";"8140"
"1464249482.18372";"около 3 тысяч";"49";"миролюбивый";"25";"292";"10";"10 месяцев";"около 59 тысяч";"52";"4 / 2";"36839";"0";"18024";"14579";"9110";"17699";"7955"
"1464292694.25905";"около 2 тысяч";"49";"миролюбивый";"25";"292";"10";"10 месяцев";"около 59 тысяч";"52";"4 / 2";"36839";"0";"18265";"14661";"9214";"17906";"8544"
