"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856849.31601";"около 8 тысяч";"70";"добродушный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13292";"23630";"0";"8975";"5699";"8620";"7638";"11698"
"1463860708.4878";"около 8 тысяч";"70";"добродушный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13292";"23630";"0";"8980";"5699";"8628";"7645";"11786"
"1463903893.03281";"около 8 тысяч";"70";"добродушный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13295";"23630";"0";"8903";"5672";"8561";"7597";"12187"
"1463947101.06324";"около 8 тысяч";"70";"добродушный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13295";"23630";"0";"8995";"5702";"8649";"7646";"12753"
"1463990293.01949";"около 8 тысяч";"70";"добродушный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13297";"23630";"0";"8880";"5682";"8522";"7593";"13123"
"1464033500.39008";"около 8 тысяч";"70";"добродушный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13303";"23630";"0";"8953";"5715";"8609";"7649";"13674"
"1464076694.63308";"около 8 тысяч";"70";"добродушный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13307";"23630";"0";"8890";"5688";"8542";"7610";"13996"
"1464119893.59963";"около 8 тысяч";"70";"беззлобный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13312";"23630";"0";"8975";"5714";"8645";"7655";"14547"
"1464163092.63381";"около 8 тысяч";"70";"беззлобный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13316";"23630";"0";"8875";"5661";"8545";"7579";"14899"
"1464206298.2767";"около 8 тысяч";"70";"беззлобный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13325";"23630";"0";"8980";"5701";"8651";"7640";"15420"
"1464249492.40042";"около 8 тысяч";"70";"беззлобный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13328";"23630";"0";"0";"0"
"1464292704.49368";"около 8 тысяч";"70";"беззлобный";"908";"376";"23";"2 года 11 месяцев";"около 169 тысяч";"145";"12 / 13";"13331";"23630";"0";"0";"0"
