"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856869.77903";"около тысячи";"51";"нейтральный";"6";"300";"9";"2 года 3 месяца";"около 65 тысяч";"97";"91 / 337";"37219";"21390";"18724";"16134";"29884";"18578";"0"
"1463860728.90369";"около 18 сотен";"51";"нейтральный";"6";"300";"9";"2 года 3 месяца";"около 65 тысяч";"97";"91 / 337";"37219";"21391";"18741";"16147";"29909";"18595";"0"
"1463903913.45613";"около 5 сотен";"51";"нейтральный";"6";"300";"9";"2 года 3 месяца";"около 65 тысяч";"98";"91 / 338";"37219";"21421";"18506";"15935";"29900";"18396";"0"
"1463947121.5032";"около 3 тысяч";"51";"нейтральный";"7";"300";"9";"2 года 3 месяца";"около 66 тысяч";"98";"91 / 338";"37219";"21427";"18718";"16079";"30246";"18600";"0"
"1463990314.4342";"около 4 тысяч";"51";"нейтральный";"7";"300";"9";"2 года 3 месяца";"около 66 тысяч";"98";"91 / 338";"37219";"21433";"18496";"15903";"29846";"18398";"0"
"1464033520.88556";"около 5 тысяч";"51";"нейтральный";"12";"300";"9";"2 года 3 месяца";"около 66 тысяч";"98";"91 / 338";"37219";"21440";"18693";"16041";"30155";"18596";"0"
"1464076715.07802";"около 5 тысяч";"51";"нейтральный";"12";"300";"9";"2 года 3 месяца";"около 66 тысяч";"98";"91 / 338";"37219";"21444";"18475";"15850";"29736";"18396";"0"
"1464119914.0502";"около 5 тысяч";"51";"нейтральный";"12";"300";"9";"2 года 3 месяца";"около 66 тысяч";"98";"91 / 338";"37219";"21446";"18752";"15953";"30151";"18631";"0"
"1464163113.0644";"около 5 тысяч";"51";"нейтральный";"12";"300";"9";"2 года 3 месяца";"около 66 тысяч";"98";"91 / 338";"37219";"21447";"18481";"15705";"29718";"18380";"0"
"1464206318.70229";"около 7 сотен";"51";"нейтральный";"14";"300";"10";"2 года 3 месяца";"около 66 тысяч";"98";"91 / 338";"37219";"21455";"18552";"15048";"30046";"18617";"0"
"1464249512.83083";"около 7 сотен";"51";"нейтральный";"14";"300";"10";"2 года 3 месяца";"около 66 тысяч";"98";"91 / 338";"37219";"21455";"18288";"14862";"29495";"18346";"0"
"1464292725.00563";"около тысячи";"51";"нейтральный";"16";"300";"10";"2 года 3 месяца";"около 66 тысяч";"98";"91 / 338";"37219";"21460";"18505";"14948";"29854";"18552";"0"
