"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856874.89594";"около 2 тысяч";"54";"нейтральный";"14";"312";"";"2 года 3 месяца";"около 79 тысяч";"144";"4 / 4";"36870";"0";"16573";"0";"37213";"18552";"0"
"1463860734.02534";"около 2 тысяч";"54";"нейтральный";"14";"312";"";"2 года 3 месяца";"около 79 тысяч";"144";"4 / 4";"36870";"0";"16586";"0";"37261";"18565";"0"
"1463903918.56251";"около 2 тысяч";"54";"нейтральный";"14";"312";"";"2 года 3 месяца";"около 79 тысяч";"144";"4 / 4";"36870";"0";"16381";"0";"36594";"18360";"0"
"1463947126.60997";"около 2 тысяч";"54";"нейтральный";"14";"312";"";"2 года 3 месяца";"около 79 тысяч";"144";"4 / 4";"36870";"0";"16600";"0";"37182";"18585";"0"
"1463990319.54968";"около 2 тысяч";"54";"нейтральный";"14";"312";"";"2 года 3 месяца";"около 79 тысяч";"144";"4 / 4";"36870";"0";"16377";"0";"36582";"18379";"0"
"1464033526.01509";"около 2 тысяч";"54";"нейтральный";"14";"312";"";"2 года 3 месяца";"около 79 тысяч";"144";"4 / 4";"36870";"0";"16588";"0";"37169";"18606";"0"
"1464076720.17572";"около сотни";"54";"нейтральный";"18";"312";"";"2 года 3 месяца";"около 79 тысяч";"145";"4 / 4";"36870";"0";"0";"0"
"1464119919.15391";"около 3 тысяч";"54";"нейтральный";"19";"312";"";"2 года 3 месяца";"около 80 тысяч";"145";"4 / 4";"36870";"0";"16600";"0";"37133";"18532";"0"
"1464163118.17056";"около 3 тысяч";"54";"нейтральный";"19";"312";"";"2 года 3 месяца";"около 80 тысяч";"145";"4 / 4";"36870";"0";"16358";"0";"36510";"18283";"0"
"1464206323.8087";"около 3 тысяч";"54";"нейтральный";"19";"312";"";"2 года 3 месяца";"около 80 тысяч";"145";"4 / 4";"36870";"0";"16597";"0";"37161";"18539";"0"
"1464249517.93664";"около 3 тысяч";"54";"нейтральный";"19";"312";"";"2 года 3 месяца";"около 80 тысяч";"145";"4 / 4";"36870";"0";"16348";"0";"36453";"18278";"0"
"1464292730.12488";"около 3 тысяч";"54";"нейтральный";"19";"312";"";"2 года 3 месяца";"около 80 тысяч";"145";"4 / 4";"36870";"0";"16577";"0";"37042";"18510";"0"
