"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463856936.82738";"около 8 тысяч";"77";"нейтральный";"992";"404";"33";"4 года 6 месяцев";"около 227 тысяч";"175";"57 / 29";"8049";"11711";"13760";"5987";"2175";"6604";"5530";"0"
"1463860796.12445";"около 8 тысяч";"77";"нейтральный";"992";"404";"33";"4 года 6 месяцев";"около 227 тысяч";"175";"57 / 29";"8050";"11711";"13760";"5990";"2175";"6609";"5531";"0"
"1463903980.38852";"около 8 тысяч";"77";"нейтральный";"992";"404";"33";"4 года 6 месяцев";"около 227 тысяч";"175";"57 / 29";"8054";"11711";"13765";"5937";"2164";"6566";"5503";"0"
"1463947188.58445";"около 8 тысяч";"77";"нейтральный";"992";"404";"";"4 года 6 месяцев";"около 227 тысяч";"175";"57 / 29";"8056";"11711";"13769";"5985";"2174";"6627";"5532";"0"
"1463990381.42493";"около 5 тысяч";"77";"нейтральный";"995";"404";"";"4 года 6 месяцев";"около 227 тысяч";"175";"57 / 29";"8044";"11711";"13770";"5939";"0";"6511";"5486";"0"
"1464033588.0246";"около 5 тысяч";"77";"нейтральный";"995";"404";"";"4 года 6 месяцев";"около 227 тысяч";"175";"57 / 29";"8049";"11711";"13777";"5983";"0";"6567";"5522";"0"
"1464076782.16672";"ни одного";"77";"нейтральный";"996";"404";"";"4 года 6 месяцев";"около 227 тысяч";"176";"57 / 29";"8048";"11711";"13780";"5945";"0";"6606";"5490";"0"
"1464119981.07092";"ни одного";"77";"нейтральный";"996";"404";"";"4 года 6 месяцев";"около 227 тысяч";"176";"57 / 29";"8055";"11711";"13785";"5996";"0";"6667";"5522";"0"
"1464163180.1111";"ни одного";"77";"нейтральный";"996";"404";"";"4 года 6 месяцев";"около 227 тысяч";"176";"57 / 29";"8061";"11711";"13789";"5919";"0";"6591";"5480";"0"
"1464206385.81205";"около 5 тысяч";"77";"нейтральный";"997";"404";"";"4 года 6 месяцев";"около 228 тысяч";"176";"57 / 29";"8058";"11711";"13793";"5974";"0";"6651";"5519";"0"
"1464249579.80845";"около тысячи";"77";"нейтральный";"997";"404";"";"4 года 6 месяцев";"около 228 тысяч";"176";"57 / 29";"8060";"11711";"13798";"5919";"0";"6556";"5490";"0"
"1464292792.15136";"около тысячи";"77";"нейтральный";"997";"404";"";"4 года 6 месяцев";"около 228 тысяч";"176";"57 / 29";"8066";"11711";"13800";"5984";"0";"6656";"5542";"0"
