"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"p.gladiatorship";"p.taming";"p.alignment"
"1463856947.49161";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
"1463860806.72202";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
"1463903990.96804";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
"1463947199.18732";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
"1463990392.08388";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
"1464033598.62856";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
"1464076792.76421";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
"1464119991.66513";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
"1464163190.69342";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
"1464206396.39798";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
"1464249590.39776";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
"1464292802.74251";"около 2 тысяч";"51";"нейтральный";"3";"300";"9";"0";"0";"0"
