"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857207.69583";"около 9 тысяч";"50";"беззлобный";"11";"296";"";"1 год 4 месяца";"около 61 тысяч";"110";"6 / 5";"37103";"0";"19095";"0";"37047";"18412";"15704"
"1463861065.88822";"около 9 тысяч";"50";"беззлобный";"11";"296";"";"1 год 4 месяца";"около 61 тысяч";"110";"6 / 5";"37103";"0";"19143";"0";"37151";"18453";"15838"
"1463904249.57976";"около 2 тысяч";"50";"беззлобный";"12";"296";"";"1 год 4 месяца";"около 61 тысяч";"110";"6 / 5";"37103";"0";"18830";"0";"36390";"18247";"15658"
"1463947458.50587";"около 4 тысяч";"50";"беззлобный";"13";"296";"";"1 год 4 месяца";"около 61 тысяч";"110";"6 / 5";"37103";"0";"19072";"0";"36983";"18456";"15745"
"1463990650.95184";"около 15 сотен";"50";"беззлобный";"13";"296";"";"1 год 4 месяца";"около 61 тысяч";"110";"6 / 5";"37103";"0";"18746";"0";"36322";"18197";"15636"
"1464033858.34469";"около 19 сотен";"50";"беззлобный";"14";"296";"";"1 год 4 месяца";"около 61 тысяч";"110";"6 / 5";"37103";"0";"18910";"0";"36795";"18384";"16103"
"1464077051.68301";"около 19 сотен";"50";"беззлобный";"14";"296";"";"1 год 4 месяца";"около 61 тысяч";"110";"6 / 5";"37103";"0";"18728";"0";"36210";"18216";"16448"
"1464120251.17798";"около тысячи";"50";"беззлобный";"14";"296";"";"1 год 4 месяца";"около 61 тысяч";"111";"6 / 5";"37103";"0";"18978";"0";"37031";"18438";"15848"
"1464163449.20917";"около 18 сотен";"50";"беззлобный";"15";"296";"";"1 год 4 месяца";"около 61 тысяч";"111";"6 / 5";"37103";"0";"18723";"0";"36422";"18213";"16223"
"1464206656.00897";"около 3 тысяч";"50";"беззлобный";"16";"296";"";"1 год 4 месяца";"около 61 тысяч";"111";"6 / 5";"37103";"0";"18973";"0";"37009";"18463";"16716"
"1464249849.47034";"около 4 тысяч";"50";"беззлобный";"17";"296";"";"1 год 4 месяца";"около 61 тысяч";"111";"6 / 5";"37103";"0";"18775";"0";"36299";"18173";"16130"
"1464293062.6644";"около тысячи";"50";"беззлобный";"17";"296";"";"1 год 4 месяца";"около 61 тысяч";"111";"6 / 5";"37103";"0";"18858";"0";"36834";"18372";"16229"
