"time";"gold_approx";"level";"alignment";"wood_cnt";"health";"pet_level";"age";"monsters_killed";"deaths";"arena_score";"p.might";"p.templehood";"p.gladiatorship";"p.mastery";"p.taming";"p.survival";"p.savings";"p.alignment"
"1463857034.87342";"около тысячи";"73";"миролюбивый";"915";"388";"6";"3 года 9 месяцев";"около 184 тысяч";"117";"24 / 26";"10615";"16434";"0";"8690";"19367";"4054";"7846";"6830"
"1463860894.25479";"около тысячи";"73";"миролюбивый";"915";"388";"6";"3 года 9 месяцев";"около 184 тысяч";"117";"24 / 26";"10615";"16434";"0";"8696";"19386";"4056";"7852";"6911"
"1463904078.30999";"около 3 тысяч";"73";"миролюбивый";"924";"388";"6";"3 года 9 месяцев";"около 184 тысяч";"117";"24 / 26";"10602";"16434";"0";"8612";"19101";"4014";"7780";"5379"
"1463947286.79829";"около 4 тысяч";"73";"миролюбивый";"924";"388";"6";"3 года 9 месяцев";"около 185 тысяч";"117";"24 / 26";"10603";"16434";"0";"8666";"19304";"4032";"7835";"5757"
"1463990479.50088";"около 2 тысяч";"73";"миролюбивый";"925";"388";"6";"3 года 9 месяцев";"около 185 тысяч";"117";"24 / 26";"10598";"16434";"0";"8491";"19083";"3981";"7770";"5644"
"1464033686.28044";"около 5 тысяч";"73";"миролюбивый";"925";"388";"7";"3 года 9 месяцев";"около 185 тысяч";"117";"24 / 26";"10576";"16434";"0";"8565";"18433";"4010";"7834";"5092"
"1464076880.18499";"около 7 тысяч";"73";"миролюбивый";"926";"388";"7";"3 года 9 месяцев";"около 185 тысяч";"117";"24 / 26";"10575";"16434";"0";"8506";"18187";"3978";"7784";"3768"
"1464120079.47483";"около 10 тысяч";"73";"добродетельный";"926";"388";"7";"3 года 9 месяцев";"около 185 тысяч";"117";"24 / 26";"10573";"16434";"0";"8583";"18313";"4006";"7815";"3156"
"1464163278.02756";"около 6 тысяч";"73";"добродетельный";"926";"388";"7";"3 года 9 месяцев";"около 185 тысяч";"117";"24 / 26";"10573";"16434";"0";"8448";"18012";"3965";"7742";"3024"
"1464206484.19859";"около 7 тысяч";"73";"добродетельный";"926";"388";"7";"3 года 9 месяцев";"около 185 тысяч";"117";"24 / 26";"10575";"16434";"0";"8549";"18208";"3999";"7808";"3736"
"1464249678.04164";"около 8 тысяч";"73";"добродетельный";"928";"388";"7";"3 года 10 месяцев";"около 185 тысяч";"117";"24 / 26";"10570";"16434";"0";"8428";"17968";"3937";"7724";"3835"
"1464292890.61968";"около 7 тысяч";"73";"добродетельный";"930";"388";"7";"3 года 10 месяцев";"около 185 тысяч";"117";"24 / 26";"10567";"16434";"0";"8531";"18097";"3971";"7787";"4100"
